Ses01F_impro06_F000 :Happiness; ()
Ses01F_impro06_F001 :Happiness; ()
Ses01F_impro06_F002 :Sadness; ()
Ses01F_impro06_F003 :Neutral state; ()
Ses01F_impro06_F004 :Neutral state; ()
Ses01F_impro06_F005 :Sadness; ()
Ses01F_impro06_F006 :Neutral state; ()
Ses01F_impro06_F007 :Neutral state; ()
Ses01F_impro06_F008 :Sadness; ()
Ses01F_impro06_F009 :Neutral state; ()
Ses01F_impro06_F010 :Sadness; ()
Ses01F_impro06_F011 :Sadness; ()
Ses01F_impro06_F012 :Sadness; ()
Ses01F_impro06_F013 :Sadness; ()
Ses01F_impro06_F014 :Neutral state; ()
Ses01F_impro06_F015 :Sadness; ()
Ses01F_impro06_F016 :Neutral state; ()
Ses01F_impro06_F017 :Happiness; ()
Ses01F_impro06_F018 :Neutral state; ()
Ses01F_impro06_F019 :Neutral state; ()
Ses01F_impro06_F020 :Sadness; ()
Ses01F_impro06_F021 :Sadness; ()
Ses01F_impro06_F022 :Sadness; ()
Ses01F_impro06_F023 :Sadness; ()
Ses01F_impro06_F024 :Sadness; ()
Ses01F_impro06_F025 :Sadness; ()
Ses01F_impro06_F026 :Sadness; ()
Ses01F_impro06_F027 :Neutral state; ()
Ses01F_impro06_F028 :Sadness; ()
Ses01F_impro06_M000 :Sadness; ()
Ses01F_impro06_M001 :Neutral state; ()
Ses01F_impro06_M002 :Neutral state; ()
Ses01F_impro06_M003 :Sadness; ()
Ses01F_impro06_M004 :Neutral state; ()
Ses01F_impro06_M005 :Neutral state; ()
Ses01F_impro06_M006 :Neutral state; ()
Ses01F_impro06_M007 :Sadness; ()
Ses01F_impro06_M008 :Neutral state; ()
Ses01F_impro06_M009 :Neutral state; ()
Ses01F_impro06_M010 :Neutral state; ()
Ses01F_impro06_M011 :Neutral state; ()
Ses01F_impro06_M012 :Neutral state; ()
Ses01F_impro06_M013 :Neutral state; ()
Ses01F_impro06_M014 :Neutral state; ()
Ses01F_impro06_M015 :Neutral state; ()
Ses01F_impro06_M016 :Neutral state; ()
Ses01F_impro06_M017 :Happiness; ()
