Ses01F_impro01_F000 :act 4; :val 3; :dom 1; ()
Ses01F_impro01_F001 :act 3; :val 4; :dom 2; ()
Ses01F_impro01_F002 :act 3; :val 3; :dom 3; ()
Ses01F_impro01_F003 :act 3; :val 4; :dom 3; ()
Ses01F_impro01_F004 :act 2; :val 3; :dom 3; ()
Ses01F_impro01_F005 :act 3; :val 3; :dom 3; ()
Ses01F_impro01_F006 :act 2; :val 4; :dom 4; ()
Ses01F_impro01_F007 :act 2; :val 4; :dom 4; ()
Ses01F_impro01_F008 :act 2; :val 4; :dom 4; ()
Ses01F_impro01_F009 :act 3; :val 3; :dom 3; ()
Ses01F_impro01_F010 :act 2; :val 3; :dom 4; ()
Ses01F_impro01_F011 :act 2; :val 4; :dom 4; ()
Ses01F_impro01_F012 :act 2; :val 4; :dom 4; ()
Ses01F_impro01_F013 :act 3; :val 3; :dom 4; ()
Ses01F_impro01_F014 :act 2; :val 4; :dom 4; ()
Ses01F_impro01_F015 :act 2; :val 4; :dom 5; ()
