Ses01F_impro03_M000 :Excited; :Overlap; ()
Ses01F_impro03_M001 :Excited; :Overlap; ()
Ses01F_impro03_M002 :Excited; :Overlap; ()
Ses01F_impro03_M003 :Excited; :Overlap; ()
Ses01F_impro03_M004 :Excited; :Overlap; ()
Ses01F_impro03_M005 :Excited; :Surprise; :Overlap; ()
Ses01F_impro03_M006 :Happiness; :Overlap; ()
Ses01F_impro03_M007 :Happiness; :Overlap; ()
Ses01F_impro03_M008 :Neutral state; :Overlap; ()
Ses01F_impro03_M009 :Neutral state; :Overlap; ()
Ses01F_impro03_M010 :Excited; :Overlap; ()
Ses01F_impro03_M011 :Neutral state; :Overlap; ()
Ses01F_impro03_M012 :Happiness; :Overlap; ()
Ses01F_impro03_M013 :Neutral state; :Happiness; :Overlap; ()
Ses01F_impro03_M014 :Happiness; :Overlap; ()
Ses01F_impro03_M015 :Happiness; :Overlap; ()
Ses01F_impro03_M016 :Neutral state; :Overlap; ()
Ses01F_impro03_M017 :Excited; :Overlap; ()
Ses01F_impro03_M018 :Surprise; :Overlap; ()
Ses01F_impro03_M019 :Neutral state; :Overlap; ()
Ses01F_impro03_M020 :Neutral state; :Overlap; ()
Ses01F_impro03_M021 :Neutral state; :Overlap; ()
Ses01F_impro03_M022 :Happiness; :Overlap; ()
Ses01F_impro03_M023 :Happiness; :Overlap; ()
Ses01F_impro03_M024 :Neutral state; :Overlap; ()
