Ses01F_impro06_M000 :Sadness; :Overlap; ()
Ses01F_impro06_M001 :Sadness; :Overlap; ()
Ses01F_impro06_M002 :Sadness; :Overlap; ()
Ses01F_impro06_M003 :Other; :Overlap; (empathy)
Ses01F_impro06_M004 :Neutral state; :Overlap; ()
Ses01F_impro06_M005 :Neutral state; :Overlap; ()
Ses01F_impro06_M006 :Neutral state; :Overlap; ()
Ses01F_impro06_M007 :Neutral state; :Overlap; ()
Ses01F_impro06_M008 :Neutral state; :Overlap; ()
Ses01F_impro06_M009 :Neutral state; :Overlap; ()
Ses01F_impro06_M010 :Other; :Overlap; (empathy)
Ses01F_impro06_M011 :Neutral state; :Overlap; ()
Ses01F_impro06_M012 :Neutral state; :Overlap; ()
Ses01F_impro06_M013 :Neutral state; :Overlap; ()
Ses01F_impro06_M014 :Neutral state; :Overlap; ()
Ses01F_impro06_M015 :Surprise; :Overlap; ()
Ses01F_impro06_M016 :Neutral state; :Overlap; ()
Ses01F_impro06_M017 :Happiness; :Overlap; ()
