Ses01M_impro02_M000 :Sadness; :Overlap; ()
Ses01M_impro02_M001 :Sadness; :Overlap; ()
Ses01M_impro02_M002 :Sadness; :Overlap; ()
Ses01M_impro02_M003 :Sadness; :Overlap; ()
Ses01M_impro02_M004 :Sadness; :Overlap; ()
Ses01M_impro02_M005 :Sadness; :Overlap; ()
Ses01M_impro02_M006 :Sadness; :Overlap; ()
Ses01M_impro02_M007 :Sadness; :Overlap; ()
Ses01M_impro02_M008 :Sadness; :Overlap; ()
Ses01M_impro02_M009 :Sadness; :Overlap; ()
Ses01M_impro02_M010 :Sadness; :Overlap; ()
Ses01M_impro02_M011 :Sadness; :Overlap; ()
Ses01M_impro02_M012 :Sadness; :Overlap; ()
Ses01M_impro02_M013 :Sadness; :Overlap; ()
Ses01M_impro02_M014 :Sadness; :Overlap; ()
Ses01M_impro02_M015 :Sadness; :Overlap; ()
Ses01M_impro02_M016 :Sadness; :Overlap; ()
Ses01M_impro02_M017 :Sadness; :Overlap; ()
Ses01M_impro02_M018 :Sadness; :Overlap; ()
Ses01M_impro02_M019 :Sadness; :Overlap; ()
Ses01M_impro02_M020 :Sadness; :Overlap; ()
Ses01M_impro02_M021 :Sadness; :Overlap; ()
Ses01M_impro02_M022 :Sadness; :Overlap; ()
Ses01M_impro02_M023 :Frustration; :Sadness; :Overlap; ()
Ses01M_impro02_M024 :Fear; :Sadness; :Overlap; ()
Ses01M_impro02_M025 :Sadness; :Overlap; ()
