Ses02F_script01_1_F000 :act 4; :val 4; :dom 2; ()
Ses02F_script01_1_F001 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_F002 :act 4; :val 4; :dom 2; ()
Ses02F_script01_1_F003 :act 2; :val 4; :dom 3; ()
Ses02F_script01_1_F004 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_F005 :act 4; :val 4; :dom 2; ()
Ses02F_script01_1_F006 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_F007 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_F008 :act 4; :val 4; :dom 4; ()
Ses02F_script01_1_F009 :act 4; :val 3; :dom 2; ()
Ses02F_script01_1_F010 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_F011 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_F012 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_F013 :act 2; :val 4; :dom 3; ()
Ses02F_script01_1_F014 :act 2; :val 4; :dom 4; ()
Ses02F_script01_1_F015 :act 2; :val 3; :dom 4; ()
Ses02F_script01_1_F016 :act 4; :val 3; :dom 2; ()
Ses02F_script01_1_F017 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_F018 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_F019 :act 2; :val 4; :dom 3; ()
Ses02F_script01_1_F020 :act 2; :val 4; :dom 3; ()
Ses02F_script01_1_F021 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_F022 :act 3; :val 3; :dom 4; ()
Ses02F_script01_1_F023 :act 2; :val 4; :dom 4; ()
Ses02F_script01_1_F024 :act 2; :val 4; :dom 4; ()
Ses02F_script01_1_F025 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_F026 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_F027 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_F028 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_F029 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_F030 :act 2; :val 4; :dom 3; ()
Ses02F_script01_1_F031 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_F032 :act 2; :val 4; :dom 4; ()
Ses02F_script01_1_F033 :act 2; :val 4; :dom 4; ()
Ses02F_script01_1_F034 :act 2; :val 4; :dom 3; ()
Ses02F_script01_1_F035 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_F036 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_F037 :act 2; :val 3; :dom 4; ()
Ses02F_script01_1_F038 :act 2; :val 4; :dom 3; ()
Ses02F_script01_1_F039 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_F040 :act 2; :val 4; :dom 3; ()
Ses02F_script01_1_F041 :act 2; :val 4; :dom 4; ()
Ses02F_script01_1_F042 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_F043 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_F044 :act 4; :val 3; :dom 2; ()
Ses02F_script01_1_M000 :act 4; :val 3; :dom 2; ()
Ses02F_script01_1_M001 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_M002 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M003 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_M004 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M005 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M006 :act 4; :val 3; :dom 2; ()
Ses02F_script01_1_M007 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M008 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_M009 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_M010 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_M011 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_M012 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_M013 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_M014 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_M015 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_M016 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_M017 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M018 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M019 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_M020 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_M021 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_M022 :act 2; :val 4; :dom 4; ()
Ses02F_script01_1_M023 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_M024 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_M025 :act 4; :val 4; :dom 3; ()
Ses02F_script01_1_M026 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M027 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_M028 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_M029 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M030 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_M031 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_M032 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_M033 :act 2; :val 4; :dom 4; ()
Ses02F_script01_1_M034 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_M035 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_M036 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_M037 :act 3; :val 4; :dom 3; ()
Ses02F_script01_1_M038 :act 2; :val 4; :dom 4; ()
Ses02F_script01_1_M039 :act 3; :val 4; :dom 4; ()
Ses02F_script01_1_M040 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M041 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M042 :act 3; :val 3; :dom 3; ()
Ses02F_script01_1_M043 :act 4; :val 3; :dom 3; ()
Ses02F_script01_1_M044 :act 4; :val 3; :dom 3; ()
