Ses02F_impro07_F000 :Excited; :Happiness; ()
Ses02F_impro07_F001 :Excited; ()
Ses02F_impro07_F002 :Excited; ()
Ses02F_impro07_F003 :Excited; ()
Ses02F_impro07_F004 :Excited; ()
Ses02F_impro07_F005 :Excited; ()
Ses02F_impro07_F006 :Excited; ()
Ses02F_impro07_F007 :Excited; :Happiness; ()
Ses02F_impro07_F008 :Excited; ()
Ses02F_impro07_F009 :Excited; ()
Ses02F_impro07_F010 :Excited; ()
Ses02F_impro07_F011 :Excited; ()
Ses02F_impro07_F012 :Excited; ()
Ses02F_impro07_F013 :Excited; ()
Ses02F_impro07_F014 :Excited; ()
Ses02F_impro07_F015 :Excited; ()
Ses02F_impro07_F016 :Excited; ()
Ses02F_impro07_F017 :Excited; ()
Ses02F_impro07_F018 :Excited; :Happiness; ()
Ses02F_impro07_F019 :Excited; ()
Ses02F_impro07_F020 :Excited; ()
Ses02F_impro07_F021 :Excited; ()
Ses02F_impro07_F022 :Excited; ()
Ses02F_impro07_F023 :Excited; ()
Ses02F_impro07_F024 :Excited; ()
Ses02F_impro07_F025 :Excited; ()
Ses02F_impro07_F026 :Excited; :Happiness; ()
Ses02F_impro07_F027 :Excited; ()
Ses02F_impro07_F028 :Excited; ()
Ses02F_impro07_F029 :Excited; ()
Ses02F_impro07_F030 :Excited; ()
Ses02F_impro07_F031 :Excited; ()
Ses02F_impro07_F032 :Excited; ()
Ses02F_impro07_F033 :Excited; ()
Ses02F_impro07_F034 :Excited; ()
Ses02F_impro07_F035 :Excited; ()
Ses02F_impro07_F036 :Excited; ()
Ses02F_impro07_F037 :Excited; ()
Ses02F_impro07_M000 :Neutral state; ()
Ses02F_impro07_M001 :Excited; ()
Ses02F_impro07_M002 :Excited; ()
Ses02F_impro07_M003 :Excited; ()
Ses02F_impro07_M004 :Excited; ()
Ses02F_impro07_M005 :Excited; ()
Ses02F_impro07_M006 :Excited; ()
Ses02F_impro07_M007 :Excited; ()
Ses02F_impro07_M008 :Excited; ()
Ses02F_impro07_M009 :Excited; ()
Ses02F_impro07_M010 :Excited; ()
Ses02F_impro07_M011 :Excited; ()
Ses02F_impro07_M012 :Neutral state; ()
Ses02F_impro07_M013 :Neutral state; ()
Ses02F_impro07_M014 :Neutral state; ()
Ses02F_impro07_M015 :Neutral state; ()
Ses02F_impro07_M016 :Neutral state; ()
Ses02F_impro07_M017 :Neutral state; ()
Ses02F_impro07_M018 :Neutral state; ()
Ses02F_impro07_M019 :Neutral state; ()
Ses02F_impro07_M020 :Neutral state; ()
Ses02F_impro07_M021 :Neutral state; ()
Ses02F_impro07_M022 :Neutral state; ()
Ses02F_impro07_M023 :Neutral state; ()
Ses02F_impro07_M024 :Neutral state; ()
Ses02F_impro07_M025 :Neutral state; ()
Ses02F_impro07_M026 :Neutral state; ()
Ses02F_impro07_M027 :Excited; ()
Ses02F_impro07_M028 :Excited; ()
Ses02F_impro07_M029 :Neutral state; ()
Ses02F_impro07_M030 :Neutral state; ()
Ses02F_impro07_M031 :Neutral state; ()
Ses02F_impro07_M032 :Neutral state; ()
Ses02F_impro07_M033 :Neutral state; ()
Ses02F_impro07_M034 :Neutral state; ()
Ses02F_impro07_M035 :Neutral state; ()
