Ses02M_script02_1_F000 :Frustration; :Sadness; ()
Ses02M_script02_1_F001 :Frustration; ()
Ses02M_script02_1_F002 :Frustration; ()
Ses02M_script02_1_F003 :Frustration; ()
Ses02M_script02_1_F004 :Frustration; ()
Ses02M_script02_1_F005 :Sadness; ()
Ses02M_script02_1_F006 :Sadness; ()
Ses02M_script02_1_F007 :Frustration; ()
Ses02M_script02_1_F008 :Frustration; ()
Ses02M_script02_1_F009 :Frustration; ()
Ses02M_script02_1_F010 :Frustration; ()
Ses02M_script02_1_F011 :Frustration; ()
Ses02M_script02_1_F012 :Frustration; ()
Ses02M_script02_1_F013 :Frustration; ()
Ses02M_script02_1_F014 :Frustration; ()
Ses02M_script02_1_F015 :Frustration; ()
Ses02M_script02_1_F016 :Sadness; ()
Ses02M_script02_1_F017 :Frustration; ()
Ses02M_script02_1_F018 :Frustration; ()
Ses02M_script02_1_F019 :Frustration; ()
Ses02M_script02_1_F020 :Frustration; ()
Ses02M_script02_1_F021 :Frustration; ()
Ses02M_script02_1_F022 :Frustration; ()
Ses02M_script02_1_M000 :Frustration; ()
Ses02M_script02_1_M001 :Frustration; ()
Ses02M_script02_1_M002 :Frustration; ()
Ses02M_script02_1_M003 :Excited; ()
Ses02M_script02_1_M004 :Excited; ()
Ses02M_script02_1_M005 :Excited; ()
Ses02M_script02_1_M006 :Frustration; ()
Ses02M_script02_1_M007 :Frustration; ()
Ses02M_script02_1_M008 :Frustration; ()
Ses02M_script02_1_M009 :Excited; ()
Ses02M_script02_1_M010 :Excited; ()
Ses02M_script02_1_M011 :Frustration; ()
Ses02M_script02_1_M012 :Excited; ()
Ses02M_script02_1_M013 :Excited; ()
Ses02M_script02_1_M014 :Frustration; ()
Ses02M_script02_1_M015 :Excited; ()
Ses02M_script02_1_M016 :Frustration; ()
Ses02M_script02_1_M017 :Excited; ()
Ses02M_script02_1_M018 :Frustration; ()
Ses02M_script02_1_M019 :Frustration; ()
Ses02M_script02_1_M020 :Excited; ()
Ses02M_script02_1_M021 :Excited; ()
Ses02M_script02_1_M022 :Excited; ()
Ses02M_script02_1_M023 :Excited; ()
Ses02M_script02_1_M024 :Excited; ()
Ses02M_script02_1_M025 :Excited; ()
Ses02M_script02_1_M026 :Excited; ()
Ses02M_script02_1_M027 :Excited; ()
Ses02M_script02_1_M028 :Excited; ()
Ses02M_script02_1_M029 :Frustration; ()
Ses02M_script02_1_M030 :Frustration; ()
Ses02M_script02_1_M031 :Frustration; ()
Ses02M_script02_1_M032 :Frustration; ()
Ses02M_script02_1_M033 :Excited; ()
Ses02M_script02_1_M034 :Excited; ()
Ses02M_script02_1_M035 :Excited; ()
Ses02M_script02_1_M036 :Excited; ()
Ses02M_script02_1_M037 :Excited; ()
Ses02M_script02_1_M038 :Excited; ()
Ses02M_script02_1_M039 :Excited; ()
Ses02M_script02_1_M040 :Excited; ()
Ses02M_script02_1_M041 :Excited; ()
Ses02M_script02_1_M042 :Excited; ()
Ses02M_script02_1_M043 :Excited; ()
Ses02M_script02_1_M044 :Excited; ()
