Ses02F_impro07_F000 :Excited; :Overlap; ()
Ses02F_impro07_F001 :Excited; :Overlap; :Happiness; ()
Ses02F_impro07_F002 :Excited; :Overlap; ()
Ses02F_impro07_F003 :Overlap; :Happiness; ()
Ses02F_impro07_F004 :Excited; :Overlap; ()
Ses02F_impro07_F005 :Excited; :Overlap; ()
Ses02F_impro07_F006 :Excited; :Overlap; ()
Ses02F_impro07_F007 :Excited; :Overlap; ()
Ses02F_impro07_F008 :Overlap; :Happiness; ()
Ses02F_impro07_F009 :Excited; :Overlap; ()
Ses02F_impro07_F010 :Overlap; :Happiness; ()
Ses02F_impro07_F011 :Overlap; :Happiness; ()
Ses02F_impro07_F012 :Neutral state; :Overlap; ()
Ses02F_impro07_F013 :Overlap; :Happiness; ()
Ses02F_impro07_F014 :Neutral state; :Overlap; ()
Ses02F_impro07_F015 :Overlap; :Happiness; ()
Ses02F_impro07_F016 :Overlap; :Happiness; ()
Ses02F_impro07_F017 :Overlap; :Happiness; ()
Ses02F_impro07_F018 :Excited; :Overlap; ()
Ses02F_impro07_F019 :Excited; :Overlap; ()
Ses02F_impro07_F020 :Overlap; :Happiness; ()
Ses02F_impro07_F021 :Neutral state; :Overlap; ()
Ses02F_impro07_F022 :Neutral state; :Overlap; ()
Ses02F_impro07_F023 :Neutral state; :Overlap; ()
Ses02F_impro07_F024 :Overlap; :Happiness; ()
Ses02F_impro07_F025 :Overlap; :Happiness; ()
Ses02F_impro07_F026 :Excited; :Overlap; ()
Ses02F_impro07_F027 :Other; :Overlap; (pride)
Ses02F_impro07_F028 :Other; :Overlap; (pride)
Ses02F_impro07_F029 :Neutral state; :Overlap; ()
Ses02F_impro07_F030 :Excited; :Overlap; ()
Ses02F_impro07_F031 :Overlap; :Happiness; ()
Ses02F_impro07_F032 :Neutral state; :Overlap; ()
Ses02F_impro07_F033 :Excited; :Overlap; ()
Ses02F_impro07_F034 :Overlap; :Happiness; ()
Ses02F_impro07_F035 :Excited; :Overlap; ()
Ses02F_impro07_F036 :Excited; :Overlap; ()
Ses02F_impro07_F037 :Neutral state; :Overlap; ()
