Ses02F_impro08_F000 :Neutral state; :Overlap; ()
Ses02F_impro08_F001 :Neutral state; :Overlap; ()
Ses02F_impro08_F002 :Neutral state; :Overlap; ()
Ses02F_impro08_F003 :Neutral state; :Overlap; ()
Ses02F_impro08_F004 :Other; :Overlap; (supportive)
Ses02F_impro08_F005 :Neutral state; :Overlap; ()
Ses02F_impro08_F006 :Overlap; :Happiness; ()
Ses02F_impro08_F007 :Overlap; :Happiness; ()
Ses02F_impro08_F008 :Other; :Overlap; :Happiness; (assertiveness)
Ses02F_impro08_F009 :Neutral state; :Overlap; ()
Ses02F_impro08_F010 :Excited; :Overlap; ()
Ses02F_impro08_F011 :Excited; :Overlap; ()
Ses02F_impro08_F012 :Overlap; :Happiness; ()
Ses02F_impro08_F013 :Other; :Overlap; (supportive)
Ses02F_impro08_F014 :Neutral state; :Overlap; ()
Ses02F_impro08_F015 :Overlap; :Happiness; ()
Ses02F_impro08_F016 :Overlap; :Happiness; ()
Ses02F_impro08_F017 :Overlap; :Happiness; ()
Ses02F_impro08_F018 :Overlap; :Happiness; ()
Ses02F_impro08_F019 :Neutral state; :Overlap; ()
Ses02F_impro08_F020 :Neutral state; :Overlap; ()
Ses02F_impro08_F021 :Neutral state; :Overlap; ()
Ses02F_impro08_F022 :Neutral state; :Overlap; ()
Ses02F_impro08_F023 :Neutral state; :Overlap; ()
Ses02F_impro08_F024 :Neutral state; :Overlap; ()
Ses02F_impro08_F025 :Overlap; :Happiness; ()
Ses02F_impro08_F026 :Overlap; :Happiness; ()
Ses02F_impro08_F027 :Overlap; :Happiness; ()
