Ses02M_impro01_F000 :act 4; :val 2; :dom 2; ()
Ses02M_impro01_F001 :act 4; :val 3; :dom 2; ()
Ses02M_impro01_F002 :act 3; :val 3; :dom 3; ()
Ses02M_impro01_F003 :act 3; :val 3; :dom 4; ()
Ses02M_impro01_F004 :act 3; :val 3; :dom 3; ()
Ses02M_impro01_F005 :act 3; :val 3; :dom 4; ()
Ses02M_impro01_F006 :act 3; :val 3; :dom 3; ()
Ses02M_impro01_F007 :act 3; :val 4; :dom 4; ()
Ses02M_impro01_F008 :act 3; :val 3; :dom 3; ()
Ses02M_impro01_F009 :act 3; :val 3; :dom 3; ()
Ses02M_impro01_F010 :act 3; :val 4; :dom 4; ()
Ses02M_impro01_F011 :act 3; :val 4; :dom 4; ()
Ses02M_impro01_F012 :act 3; :val 3; :dom 4; ()
Ses02M_impro01_F013 :act 3; :val 3; :dom 4; ()
Ses02M_impro01_F014 :act 3; :val 4; :dom 4; ()
Ses02M_impro01_F015 :act 3; :val 4; :dom 4; ()
Ses02M_impro01_F016 :act 3; :val 3; :dom 4; ()
Ses02M_impro01_F017 :act 3; :val 3; :dom 3; ()
Ses02M_impro01_F018 :act 3; :val 3; :dom 3; ()
Ses02M_impro01_F019 :act 2; :val 4; :dom 4; ()
Ses02M_impro01_F020 :act 3; :val 3; :dom 4; ()
Ses02M_impro01_F021 :act 3; :val 3; :dom 4; ()
Ses02M_impro01_F022 :act 3; :val 4; :dom 4; ()
Ses02M_impro01_F023 :act 3; :val 4; :dom 4; ()
Ses02M_impro01_F024 :act 3; :val 3; :dom 4; ()
