Ses02M_impro01_F000 :Neutral state; :Overlap; ()
Ses02M_impro01_F001 :Neutral state; :Overlap; ()
Ses02M_impro01_F002 :Neutral state; :Overlap; ()
Ses02M_impro01_F003 :Neutral state; :Overlap; ()
Ses02M_impro01_F004 :Neutral state; :Overlap; ()
Ses02M_impro01_F005 :Frustration; :Overlap; ()
Ses02M_impro01_F006 :Overlap; :Disgust; ()
Ses02M_impro01_F007 :Frustration; :Overlap; ()
Ses02M_impro01_F008 :Frustration; :Overlap; ()
Ses02M_impro01_F009 :Neutral state; :Overlap; ()
Ses02M_impro01_F010 :Frustration; :Overlap; ()
Ses02M_impro01_F011 :Frustration; :Overlap; ()
Ses02M_impro01_F012 :Neutral state; :Overlap; ()
Ses02M_impro01_F013 :Frustration; :Overlap; ()
Ses02M_impro01_F014 :Frustration; :Overlap; ()
Ses02M_impro01_F015 :Frustration; :Overlap; ()
Ses02M_impro01_F016 :Frustration; :Overlap; ()
Ses02M_impro01_F017 :Frustration; :Overlap; ()
Ses02M_impro01_F018 :Frustration; :Overlap; ()
Ses02M_impro01_F019 :Frustration; :Overlap; ()
Ses02M_impro01_F020 :Frustration; :Overlap; ()
Ses02M_impro01_F021 :Overlap; :Disgust; ()
Ses02M_impro01_F022 :Overlap; :Disgust; ()
Ses02M_impro01_F023 :Frustration; :Overlap; ()
Ses02M_impro01_F024 :Frustration; :Overlap; ()
