Ses02M_impro08_F000 :Excited; :Frustration; :Overlap; ()
Ses02M_impro08_F001 :Neutral state; :Overlap; ()
Ses02M_impro08_F002 :Frustration; :Overlap; ()
Ses02M_impro08_F003 :Frustration; :Overlap; ()
Ses02M_impro08_F004 :Frustration; :Overlap; ()
Ses02M_impro08_F005 :Frustration; :Overlap; ()
Ses02M_impro08_F006 :Neutral state; :Overlap; ()
Ses02M_impro08_F007 :Frustration; :Overlap; :Fear; ()
Ses02M_impro08_F008 :Frustration; :Overlap; ()
Ses02M_impro08_F009 :Frustration; :Overlap; :Fear; ()
Ses02M_impro08_F010 :Overlap; :Disgust; ()
Ses02M_impro08_F011 :Neutral state; :Overlap; ()
Ses02M_impro08_F012 :Overlap; :Fear; ()
Ses02M_impro08_F013 :Other; :Overlap; (relief)
Ses02M_impro08_F014 :Neutral state; :Overlap; ()
Ses02M_impro08_F015 :Neutral state; :Overlap; ()
Ses02M_impro08_F016 :Frustration; :Overlap; ()
Ses02M_impro08_F017 :Frustration; :Overlap; ()
Ses02M_impro08_F018 :Overlap; :Fear; ()
Ses02M_impro08_F019 :Frustration; :Overlap; ()
Ses02M_impro08_F020 :Overlap; :Surprise; ()
Ses02M_impro08_F021 :Overlap; :Surprise; :Happiness; ()
Ses02M_impro08_F022 :Other; :Overlap; (relief)
Ses02M_impro08_F023 :Overlap; :Happiness; ()
Ses02M_impro08_F024 :Neutral state; :Overlap; ()
Ses02M_impro08_F025 :Neutral state; :Overlap; ()
Ses02M_impro08_F026 :Neutral state; :Overlap; ()
Ses02M_impro08_F027 :Neutral state; :Overlap; ()
Ses02M_impro08_F028 :Overlap; :Happiness; ()
Ses02M_impro08_F029 :Other; :Overlap; (relief)
Ses02M_impro08_F030 :Overlap; :Happiness; ()
