Ses03M_impro05b_F000 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_F001 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F002 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F003 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F004 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F005 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F006 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_F007 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F008 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F009 :act 3; :val 3; :dom 2; ()
Ses03M_impro05b_F010 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F011 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F012 :act 3; :val 4; :dom 2; ()
Ses03M_impro05b_F013 :act 3; :val 3; :dom 2; ()
Ses03M_impro05b_F014 :act 3; :val 3; :dom 2; ()
Ses03M_impro05b_F015 :act 3; :val 3; :dom 2; ()
Ses03M_impro05b_F016 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F017 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F018 :act 3; :val 3; :dom 2; ()
Ses03M_impro05b_F019 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F020 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F021 :act 4; :val 3; :dom 4; ()
Ses03M_impro05b_F022 :act 3; :val 4; :dom 2; ()
Ses03M_impro05b_F023 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F024 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_F025 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F026 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_F027 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_F028 :act 3; :val 3; :dom 2; ()
Ses03M_impro05b_F029 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F030 :act 3; :val 4; :dom 2; ()
Ses03M_impro05b_F031 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_M000 :act 4; :val 4; :dom 2; ()
Ses03M_impro05b_M001 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_M002 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_M003 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_M004 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_M005 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_M006 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_M007 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M008 :act 4; :val 4; :dom 4; ()
Ses03M_impro05b_M009 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_M010 :act 4; :val 4; :dom 4; ()
Ses03M_impro05b_M011 :act 4; :val 4; :dom 3; ()
Ses03M_impro05b_M012 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M013 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M014 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M015 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_M016 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M017 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_M018 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_M019 :act 3; :val 2; :dom 3; ()
Ses03M_impro05b_M020 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_M021 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M022 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M023 :act 4; :val 4; :dom 4; ()
Ses03M_impro05b_M024 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M025 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M026 :act 2; :val 4; :dom 4; ()
Ses03M_impro05b_M027 :act 4; :val 4; :dom 3; ()
Ses03M_impro05b_M028 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M029 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M030 :act 3; :val 4; :dom 4; ()
Ses03M_impro05b_M031 :act 4; :val 4; :dom 4; ()
Ses03M_impro05b_M032 :act 4; :val 4; :dom 4; ()
Ses03M_impro05b_M033 :act 3; :val 3; :dom 3; ()
