Ses03M_impro08a_F000 :act 2; :val 4; :dom 5; ()
Ses03M_impro08a_F001 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F002 :act 1; :val 4; :dom 4; ()
Ses03M_impro08a_F003 :act 1; :val 5; :dom 4; ()
Ses03M_impro08a_F004 :act 4; :val 3; :dom 2; ()
Ses03M_impro08a_F005 :act 3; :val 3; :dom 2; ()
Ses03M_impro08a_F006 :act 1; :val 5; :dom 5; ()
Ses03M_impro08a_F007 :act 1; :val 5; :dom 5; ()
Ses03M_impro08a_F008 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F009 :act 1; :val 4; :dom 5; ()
Ses03M_impro08a_F010 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_F011 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F012 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F013 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F014 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F015 :act 3; :val 4; :dom 5; ()
Ses03M_impro08a_F016 :act 3; :val 4; :dom 3; ()
Ses03M_impro08a_F017 :act 3; :val 4; :dom 3; ()
Ses03M_impro08a_F018 :act 2; :val 5; :dom 5; ()
Ses03M_impro08a_F019 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_F020 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_F021 :act 1; :val 4; :dom 4; ()
Ses03M_impro08a_F022 :act 3; :val 3; :dom 3; ()
Ses03M_impro08a_F023 :act 4; :val 4; :dom 4; ()
Ses03M_impro08a_F024 :act 3; :val 4; :dom 3; ()
Ses03M_impro08a_F025 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_F026 :act 1; :val 4; :dom 5; ()
Ses03M_impro08a_F027 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F028 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_F029 :act 2; :val 3; :dom 4; ()
Ses03M_impro08a_F030 :act 4; :val 4; :dom 3; ()
Ses03M_impro08a_F031 :act 1; :val 4; :dom 5; ()
Ses03M_impro08a_F032 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_F033 :act 4; :val 4; :dom 3; ()
Ses03M_impro08a_F034 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_F035 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_M000 :act 4; :val 3; :dom 2; ()
Ses03M_impro08a_M001 :act 4; :val 3; :dom 3; ()
Ses03M_impro08a_M002 :act 4; :val 3; :dom 4; ()
Ses03M_impro08a_M003 :act 4; :val 3; :dom 3; ()
Ses03M_impro08a_M004 :act 3; :val 3; :dom 4; ()
Ses03M_impro08a_M005 :act 4; :val 3; :dom 3; ()
Ses03M_impro08a_M006 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_M007 :act 3; :val 3; :dom 3; ()
Ses03M_impro08a_M008 :act 4; :val 3; :dom 3; ()
Ses03M_impro08a_M009 :act 4; :val 2; :dom 3; ()
Ses03M_impro08a_M010 :act 3; :val 3; :dom 4; ()
Ses03M_impro08a_M011 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_M012 :act 2; :val 3; :dom 4; ()
Ses03M_impro08a_M013 :act 3; :val 3; :dom 4; ()
Ses03M_impro08a_M014 :act 4; :val 3; :dom 3; ()
Ses03M_impro08a_M015 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_M016 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_M017 :act 4; :val 3; :dom 2; ()
Ses03M_impro08a_M018 :act 3; :val 3; :dom 3; ()
Ses03M_impro08a_M019 :act 3; :val 3; :dom 4; ()
Ses03M_impro08a_M020 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_M021 :act 3; :val 3; :dom 4; ()
Ses03M_impro08a_M022 :act 4; :val 4; :dom 3; ()
Ses03M_impro08a_M023 :act 3; :val 3; :dom 3; ()
Ses03M_impro08a_M024 :act 3; :val 3; :dom 2; ()
Ses03M_impro08a_M025 :act 3; :val 3; :dom 3; ()
Ses03M_impro08a_M026 :act 4; :val 3; :dom 3; ()
Ses03M_impro08a_M027 :act 3; :val 3; :dom 4; ()
