Ses03F_script03_2_F000 :Other; (annoyed)
Ses03F_script03_2_F001 :Other; (annoyed)
Ses03F_script03_2_F002 :Other; (annoyed)
Ses03F_script03_2_F003 :Neutral state; ()
Ses03F_script03_2_F004 :Neutral state; ()
Ses03F_script03_2_F005 :Other; (annoyed)
Ses03F_script03_2_F006 :Neutral state; ()
Ses03F_script03_2_F007 :Neutral state; ()
Ses03F_script03_2_F008 :Neutral state; ()
Ses03F_script03_2_F009 :Other; (annoyed)
Ses03F_script03_2_F010 :Sadness; ()
Ses03F_script03_2_F011 :Other; (annoyed)
Ses03F_script03_2_F012 :Other; (annoyed)
Ses03F_script03_2_F013 :Neutral state; ()
Ses03F_script03_2_F014 :Anger; ()
Ses03F_script03_2_F015 :Other; (annoyed)
Ses03F_script03_2_F016 :Neutral state; ()
Ses03F_script03_2_F017 :Neutral state; ()
Ses03F_script03_2_F018 :Other; (annoyed)
Ses03F_script03_2_F019 :Other; (annoyed)
Ses03F_script03_2_F020 :Neutral state; ()
Ses03F_script03_2_F021 :Frustration; ()
Ses03F_script03_2_F022 :Frustration; ()
Ses03F_script03_2_F023 :Frustration; :Anger; ()
Ses03F_script03_2_F024 :Neutral state; ()
Ses03F_script03_2_F025 :Frustration; ()
Ses03F_script03_2_F026 :Frustration; ()
Ses03F_script03_2_F027 :Frustration; ()
Ses03F_script03_2_F028 :Other; (annoyed)
Ses03F_script03_2_F029 :Frustration; :Anger; ()
Ses03F_script03_2_F030 :Frustration; (annoyed)
Ses03F_script03_2_F031 :Neutral state; ()
Ses03F_script03_2_F032 :Other; (annoyed)
Ses03F_script03_2_F033 :Other; (annoyed)
Ses03F_script03_2_F034 :Other; (annoyed)
Ses03F_script03_2_F035 :Anger; ()
Ses03F_script03_2_F036 :Frustration; :Anger; ()
Ses03F_script03_2_F037 :Anger; ()
Ses03F_script03_2_F038 :Anger; ()
Ses03F_script03_2_F039 :Anger; ()
Ses03F_script03_2_F040 :Anger; ()
Ses03F_script03_2_F041 :Anger; ()
Ses03F_script03_2_F042 :Anger; ()
Ses03F_script03_2_F043 :Anger; ()
Ses03F_script03_2_M000 :Neutral state; ()
Ses03F_script03_2_M001 :Other; (annoyed)
Ses03F_script03_2_M002 :Neutral state; ()
Ses03F_script03_2_M003 :Neutral state; ()
Ses03F_script03_2_M004 :Other; (annoyed)
Ses03F_script03_2_M005 :Other; (annoyed)
Ses03F_script03_2_M006 :Other; (annoyed)
Ses03F_script03_2_M007 :Other; (annoyed)
Ses03F_script03_2_M008 :Other; (annoyed)
Ses03F_script03_2_M009 :Neutral state; ()
Ses03F_script03_2_M010 :Neutral state; ()
Ses03F_script03_2_M011 :Neutral state; ()
Ses03F_script03_2_M012 :Neutral state; ()
Ses03F_script03_2_M013 :Other; (annoyed)
Ses03F_script03_2_M014 :Other; (annoyed)
Ses03F_script03_2_M015 :Frustration; ()
Ses03F_script03_2_M016 :Frustration; ()
Ses03F_script03_2_M017 :Neutral state; ()
Ses03F_script03_2_M018 :Neutral state; ()
Ses03F_script03_2_M019 :Neutral state; ()
Ses03F_script03_2_M020 :Other; (annoyed)
Ses03F_script03_2_M021 :Other; (annoyed)
Ses03F_script03_2_M022 :Other; (annoyed)
Ses03F_script03_2_M023 :Neutral state; ()
Ses03F_script03_2_M024 :Frustration; ()
Ses03F_script03_2_M025 :Neutral state; ()
Ses03F_script03_2_M026 :Neutral state; ()
Ses03F_script03_2_M027 :Other; (annoyed)
Ses03F_script03_2_M028 :Other; (annoyed)
Ses03F_script03_2_M029 :Anger; ()
Ses03F_script03_2_M030 :Anger; ()
Ses03F_script03_2_M031 :Other; (annoyed)
Ses03F_script03_2_M032 :Other; (annoyed)
Ses03F_script03_2_M033 :Other; (annoyed)
Ses03F_script03_2_M034 :Other; (annoyed)
Ses03F_script03_2_M035 :Neutral state; ()
Ses03F_script03_2_M036 :Other; (annoyed)
Ses03F_script03_2_M037 :Anger; ()
Ses03F_script03_2_M038 :Anger; ()
Ses03F_script03_2_M039 :Anger; ()
Ses03F_script03_2_M040 :Anger; ()
Ses03F_script03_2_M041 :Anger; ()
Ses03F_script03_2_M042 :Anger; ()
Ses03F_script03_2_M043 :Anger; ()
Ses03F_script03_2_M044 :Anger; ()
