Ses03M_impro03_F000 :Excited; ()
Ses03M_impro03_F001 :Excited; ()
Ses03M_impro03_F002 :Excited; :Surprise; ()
Ses03M_impro03_F003 :Excited; ()
Ses03M_impro03_F004 :Excited; ()
Ses03M_impro03_F005 :Excited; ()
Ses03M_impro03_F006 :Excited; ()
Ses03M_impro03_F007 :Excited; ()
Ses03M_impro03_F008 :Excited; ()
Ses03M_impro03_F009 :Excited; ()
Ses03M_impro03_F010 :Excited; ()
Ses03M_impro03_F011 :Excited; ()
Ses03M_impro03_F012 :Happiness; ()
Ses03M_impro03_F013 :Excited; ()
Ses03M_impro03_F014 :Happiness; ()
Ses03M_impro03_F015 :Excited; ()
Ses03M_impro03_F016 :Happiness; ()
Ses03M_impro03_F017 :Happiness; ()
Ses03M_impro03_F018 :Happiness; ()
Ses03M_impro03_F019 :Excited; ()
Ses03M_impro03_F020 :Happiness; ()
Ses03M_impro03_F021 :Happiness; ()
Ses03M_impro03_F022 :Happiness; ()
Ses03M_impro03_F023 :Excited; ()
Ses03M_impro03_F024 :Excited; ()
Ses03M_impro03_F025 :Happiness; ()
Ses03M_impro03_F026 :Happiness; ()
Ses03M_impro03_F027 :Happiness; ()
Ses03M_impro03_F028 :Happiness; ()
Ses03M_impro03_F029 :Happiness; ()
Ses03M_impro03_F030 :Happiness; ()
Ses03M_impro03_F031 :Happiness; ()
Ses03M_impro03_F032 :Happiness; ()
Ses03M_impro03_F033 :Happiness; ()
Ses03M_impro03_F034 :Happiness; ()
Ses03M_impro03_F035 :Happiness; ()
Ses03M_impro03_F036 :Happiness; ()
Ses03M_impro03_F037 :Excited; ()
Ses03M_impro03_F038 :Excited; ()
Ses03M_impro03_F039 :Happiness; ()
Ses03M_impro03_F040 :Happiness; ()
Ses03M_impro03_F041 :Happiness; ()
Ses03M_impro03_F042 :Happiness; ()
Ses03M_impro03_M000 :Excited; ()
Ses03M_impro03_M001 :Excited; ()
Ses03M_impro03_M002 :Excited; ()
Ses03M_impro03_M003 :Excited; ()
Ses03M_impro03_M004 :Excited; ()
Ses03M_impro03_M005 :Excited; ()
Ses03M_impro03_M006 :Excited; ()
Ses03M_impro03_M007 :Excited; ()
Ses03M_impro03_M008 :Excited; ()
Ses03M_impro03_M009 :Excited; ()
Ses03M_impro03_M010 :Excited; ()
Ses03M_impro03_M011 :Excited; ()
Ses03M_impro03_M012 :Happiness; ()
Ses03M_impro03_M013 :Excited; ()
Ses03M_impro03_M014 :Happiness; ()
Ses03M_impro03_M015 :Happiness; ()
Ses03M_impro03_M016 :Happiness; ()
Ses03M_impro03_M017 :Happiness; ()
Ses03M_impro03_M018 :Happiness; ()
Ses03M_impro03_M019 :Happiness; ()
Ses03M_impro03_M020 :Happiness; ()
Ses03M_impro03_M021 :Happiness; ()
Ses03M_impro03_M022 :Excited; ()
Ses03M_impro03_M023 :Excited; ()
Ses03M_impro03_M024 :Excited; ()
Ses03M_impro03_M025 :Excited; ()
Ses03M_impro03_M026 :Excited; ()
Ses03M_impro03_M027 :Excited; ()
Ses03M_impro03_M028 :Happiness; ()
Ses03M_impro03_M029 :Happiness; ()
Ses03M_impro03_M030 :Happiness; ()
Ses03M_impro03_M031 :Happiness; ()
Ses03M_impro03_M032 :Happiness; ()
Ses03M_impro03_M033 :Excited; ()
Ses03M_impro03_M034 :Excited; ()
Ses03M_impro03_M035 :Excited; ()
Ses03M_impro03_M036 :Excited; ()
Ses03M_impro03_M037 :Excited; ()
Ses03M_impro03_M038 :Happiness; ()
Ses03M_impro03_M039 :Happiness; ()
Ses03M_impro03_M040 :Happiness; ()
