Ses03M_impro05a_F000 :Neutral state; ()
Ses03M_impro05a_F001 :Frustration; ()
Ses03M_impro05a_F002 :Frustration; ()
Ses03M_impro05a_F003 :Frustration; ()
Ses03M_impro05a_F004 :Frustration; ()
Ses03M_impro05a_F005 :Frustration; ()
Ses03M_impro05a_F006 :Frustration; ()
Ses03M_impro05a_F007 :Frustration; ()
Ses03M_impro05a_F008 :Neutral state; ()
Ses03M_impro05a_F009 :Frustration; ()
Ses03M_impro05a_F010 :Frustration; ()
Ses03M_impro05a_F011 :Frustration; ()
Ses03M_impro05a_F012 :Frustration; ()
Ses03M_impro05a_F013 :Frustration; ()
Ses03M_impro05a_F014 :Frustration; ()
Ses03M_impro05a_F015 :Frustration; ()
Ses03M_impro05a_F016 :Frustration; ()
Ses03M_impro05a_F017 :Frustration; ()
Ses03M_impro05a_F018 :Anger; ()
Ses03M_impro05a_F019 :Frustration; ()
Ses03M_impro05a_F020 :Frustration; ()
Ses03M_impro05a_F021 :Frustration; ()
Ses03M_impro05a_F022 :Frustration; ()
Ses03M_impro05a_F023 :Frustration; ()
Ses03M_impro05a_F024 :Frustration; ()
Ses03M_impro05a_F025 :Frustration; ()
Ses03M_impro05a_F026 :Frustration; ()
Ses03M_impro05a_F027 :Frustration; ()
Ses03M_impro05a_F028 :Frustration; ()
Ses03M_impro05a_M000 :Anger; ()
Ses03M_impro05a_M001 :Anger; ()
Ses03M_impro05a_M002 :Anger; ()
Ses03M_impro05a_M003 :Anger; ()
Ses03M_impro05a_M004 :Anger; ()
Ses03M_impro05a_M005 :Anger; ()
Ses03M_impro05a_M006 :Anger; ()
Ses03M_impro05a_M007 :Anger; ()
Ses03M_impro05a_M008 :Anger; ()
Ses03M_impro05a_M009 :Anger; ()
Ses03M_impro05a_M010 :Anger; ()
Ses03M_impro05a_M011 :Anger; ()
Ses03M_impro05a_M012 :Anger; ()
Ses03M_impro05a_M013 :Anger; ()
Ses03M_impro05a_M014 :Anger; ()
Ses03M_impro05a_M015 :Frustration; ()
Ses03M_impro05a_M016 :Anger; ()
Ses03M_impro05a_M017 :Anger; ()
Ses03M_impro05a_M018 :Anger; ()
Ses03M_impro05a_M019 :Frustration; ()
Ses03M_impro05a_M020 :Anger; ()
Ses03M_impro05a_M021 :Anger; ()
Ses03M_impro05a_M022 :Anger; ()
Ses03M_impro05a_M023 :Anger; ()
Ses03M_impro05a_M024 :Anger; ()
Ses03M_impro05a_M025 :Anger; ()
Ses03M_impro05a_M026 :Anger; ()
Ses03M_impro05a_M027 :Anger; ()
Ses03M_impro05a_M028 :Anger; ()
Ses03M_impro05a_M029 :Anger; ()
Ses03M_impro05a_M030 :Excited; ()
