Ses03M_impro08b_F000 :Sadness; ()
Ses03M_impro08b_F001 :Frustration; :Sadness; ()
Ses03M_impro08b_F002 :Frustration; ()
Ses03M_impro08b_F003 :Frustration; ()
Ses03M_impro08b_F004 :Anger; ()
Ses03M_impro08b_F005 :Anger; ()
Ses03M_impro08b_F006 :Anger; ()
Ses03M_impro08b_F007 :Frustration; ()
Ses03M_impro08b_F008 :Frustration; ()
Ses03M_impro08b_F009 :Frustration; ()
Ses03M_impro08b_F010 :Frustration; ()
Ses03M_impro08b_F011 :Frustration; ()
Ses03M_impro08b_F012 :Anger; ()
Ses03M_impro08b_F013 :Anger; ()
Ses03M_impro08b_F014 :Frustration; ()
Ses03M_impro08b_F015 :Frustration; ()
Ses03M_impro08b_F016 :Frustration; ()
Ses03M_impro08b_F017 :Frustration; ()
Ses03M_impro08b_F018 :Frustration; ()
Ses03M_impro08b_F019 :Frustration; ()
Ses03M_impro08b_F020 :Frustration; ()
Ses03M_impro08b_F021 :Frustration; ()
Ses03M_impro08b_F022 :Frustration; ()
Ses03M_impro08b_F023 :Frustration; ()
Ses03M_impro08b_F024 :Frustration; ()
Ses03M_impro08b_M000 :Neutral state; ()
Ses03M_impro08b_M001 :Neutral state; ()
Ses03M_impro08b_M002 :Neutral state; ()
Ses03M_impro08b_M003 :Neutral state; ()
Ses03M_impro08b_M004 :Frustration; ()
Ses03M_impro08b_M005 :Neutral state; ()
Ses03M_impro08b_M006 :Frustration; ()
Ses03M_impro08b_M007 :Neutral state; ()
Ses03M_impro08b_M008 :Neutral state; ()
Ses03M_impro08b_M009 :Neutral state; ()
Ses03M_impro08b_M010 :Frustration; ()
Ses03M_impro08b_M011 :Frustration; ()
Ses03M_impro08b_M012 :Frustration; ()
Ses03M_impro08b_M013 :Frustration; ()
Ses03M_impro08b_M014 :Frustration; ()
Ses03M_impro08b_M015 :Frustration; ()
Ses03M_impro08b_M016 :Frustration; ()
Ses03M_impro08b_M017 :Frustration; ()
Ses03M_impro08b_M018 :Frustration; ()
Ses03M_impro08b_M019 :Frustration; ()
Ses03M_impro08b_M020 :Frustration; ()
Ses03M_impro08b_M021 :Frustration; ()
Ses03M_impro08b_M022 :Frustration; ()
