Ses03M_impro08b_F000 :Frustration; ()
Ses03M_impro08b_F001 :Frustration; ()
Ses03M_impro08b_F002 :Frustration; ()
Ses03M_impro08b_F003 :Frustration; ()
Ses03M_impro08b_F004 :Frustration; ()
Ses03M_impro08b_F005 :Frustration; ()
Ses03M_impro08b_F006 :Frustration; ()
Ses03M_impro08b_F007 :Frustration; ()
Ses03M_impro08b_F008 :Frustration; ()
Ses03M_impro08b_F009 :Frustration; ()
Ses03M_impro08b_F010 :Frustration; ()
Ses03M_impro08b_F011 :Frustration; ()
Ses03M_impro08b_F012 :Frustration; ()
Ses03M_impro08b_F013 :Frustration; ()
Ses03M_impro08b_F014 :Frustration; ()
Ses03M_impro08b_F015 :Frustration; ()
Ses03M_impro08b_F016 :Frustration; ()
Ses03M_impro08b_F017 :Neutral state; ()
Ses03M_impro08b_F018 :Neutral state; ()
Ses03M_impro08b_F019 :Neutral state; ()
Ses03M_impro08b_F020 :Neutral state; ()
Ses03M_impro08b_F021 :Neutral state; ()
Ses03M_impro08b_F022 :Neutral state; ()
Ses03M_impro08b_F023 :Neutral state; ()
Ses03M_impro08b_F024 :Neutral state; ()
Ses03M_impro08b_M000 :Neutral state; ()
Ses03M_impro08b_M001 :Neutral state; ()
Ses03M_impro08b_M002 :Neutral state; ()
Ses03M_impro08b_M003 :Neutral state; ()
Ses03M_impro08b_M004 :Neutral state; ()
Ses03M_impro08b_M005 :Neutral state; ()
Ses03M_impro08b_M006 :Neutral state; ()
Ses03M_impro08b_M007 :Neutral state; ()
Ses03M_impro08b_M008 :Neutral state; ()
Ses03M_impro08b_M009 :Neutral state; ()
Ses03M_impro08b_M010 :Neutral state; ()
Ses03M_impro08b_M011 :Neutral state; ()
Ses03M_impro08b_M012 :Neutral state; ()
Ses03M_impro08b_M013 :Neutral state; ()
Ses03M_impro08b_M014 :Neutral state; ()
Ses03M_impro08b_M015 :Neutral state; ()
Ses03M_impro08b_M016 :Neutral state; ()
Ses03M_impro08b_M017 :Neutral state; ()
Ses03M_impro08b_M018 :Neutral state; ()
Ses03M_impro08b_M019 :Neutral state; ()
Ses03M_impro08b_M020 :Neutral state; ()
Ses03M_impro08b_M021 :Neutral state; ()
Ses03M_impro08b_M022 :Neutral state; ()
