Ses03F_impro02_F002 :Overlap; ()
Ses03F_impro02_M000 :Neutral state; :Overlap; ()
Ses03F_impro02_M001 :Overlap; :Happiness; ()
Ses03F_impro02_M002 :Overlap; :Happiness; ()
Ses03F_impro02_M003 :Overlap; :Happiness; ()
Ses03F_impro02_M004 :Overlap; :Surprise; ()
Ses03F_impro02_M005 :Overlap; :Surprise; ()
Ses03F_impro02_M006 :Frustration; :Overlap; ()
Ses03F_impro02_M007 :Frustration; :Overlap; ()
Ses03F_impro02_M008 :Frustration; :Overlap; ()
Ses03F_impro02_M009 :Frustration; :Overlap; ()
Ses03F_impro02_M010 :Neutral state; :Sadness; :Overlap; ()
Ses03F_impro02_M011 :Overlap; :Disgust; ()
Ses03F_impro02_M012 :Sadness; :Overlap; ()
Ses03F_impro02_M013 :Sadness; :Overlap; ()
Ses03F_impro02_M014 :Frustration; :Overlap; ()
Ses03F_impro02_M015 :Frustration; :Sadness; :Overlap; ()
Ses03F_impro02_M016 :Sadness; :Overlap; ()
Ses03F_impro02_M017 :Sadness; :Overlap; ()
Ses03F_impro02_M018 :Overlap; :Anger; ()
Ses03F_impro02_M019 :Sadness; :Overlap; ()
Ses03F_impro02_M020 :Frustration; :Overlap; ()
Ses03F_impro02_M021 :Overlap; :Disgust; ()
Ses03F_impro02_M022 :Overlap; :Fear; ()
Ses03F_impro02_M023 :Overlap; :Anger; ()
Ses03F_impro02_M024 :Overlap; :Anger; ()
Ses03F_impro02_M025 :Sadness; :Overlap; ()
Ses03F_impro02_M026 :Overlap; :Anger; ()
Ses03F_impro02_M027 :Overlap; :Fear; ()
Ses03F_impro02_M028 :Overlap; :Disgust; ()
Ses03F_impro02_M029 :Other; :Overlap; (vindictive)
Ses03F_impro02_M030 :Sadness; :Overlap; ()
Ses03F_impro02_M031 :Sadness; :Overlap; ()
