Ses03F_impro03_F000 :Overlap; :Happiness; ()
Ses03F_impro03_F001 :Surprise; :Overlap; ()
Ses03F_impro03_F002 :Excited; :Overlap; ()
Ses03F_impro03_F003 :Happiness; :Overlap; ()
Ses03F_impro03_F004 :Neutral state; :Overlap; ()
Ses03F_impro03_F005 :Excited; :Overlap; ()
Ses03F_impro03_F006 :Surprise; :Overlap; ()
Ses03F_impro03_F007 :Excited; :Overlap; ()
Ses03F_impro03_F008 :Happiness; :Overlap; ()
Ses03F_impro03_F009 :Excited; :Overlap; ()
Ses03F_impro03_F010 :Happiness; :Overlap; ()
Ses03F_impro03_F011 :Surprise; :Overlap; ()
Ses03F_impro03_F012 :Excited; :Overlap; ()
Ses03F_impro03_F013 :Surprise; :Overlap; ()
Ses03F_impro03_F014 :Happiness; :Overlap; ()
Ses03F_impro03_F015 :Excited; :Overlap; ()
Ses03F_impro03_F016 :Happiness; :Overlap; ()
Ses03F_impro03_F017 :Happiness; :Overlap; ()
Ses03F_impro03_F018 :Happiness; :Overlap; ()
Ses03F_impro03_F019 :Other; :Overlap; (anxiety)
Ses03F_impro03_F020 :Neutral state; :Overlap; ()
Ses03F_impro03_F021 :Excited; :Overlap; ()
Ses03F_impro03_F022 :Excited; :Overlap; ()
Ses03F_impro03_F023 :Excited; :Overlap; ()
Ses03F_impro03_F024 :Excited; :Overlap; ()
