Ses03F_impro04_F000 :Frustration; :Overlap; ()
Ses03F_impro04_F001 :Other; :Overlap; (doubt)
Ses03F_impro04_F002 :Frustration; :Overlap; ()
Ses03F_impro04_F003 :Frustration; :Overlap; ()
Ses03F_impro04_F004 :Frustration; :Overlap; ()
Ses03F_impro04_F005 :Frustration; :Overlap; ()
Ses03F_impro04_F006 :Sadness; :Overlap; ()
Ses03F_impro04_F007 :Other; :Overlap; (depressed)
Ses03F_impro04_F008 :Fear; :Overlap; ()
Ses03F_impro04_F009 :Fear; :Overlap; ()
Ses03F_impro04_F010 :Frustration; :Overlap; ()
Ses03F_impro04_F011 :Surprise; :Overlap; ()
Ses03F_impro04_F012 :Frustration; :Overlap; ()
Ses03F_impro04_F013 :Frustration; :Overlap; ()
Ses03F_impro04_F014 :Other; :Overlap; (uncertainty)
Ses03F_impro04_F015 :Neutral state; :Overlap; ()
Ses03F_impro04_F016 :Frustration; :Overlap; ()
Ses03F_impro04_F017 :Excited; :Overlap; ()
Ses03F_impro04_F018 :Other; :Overlap; (longing)
Ses03F_impro04_F019 :Other; :Overlap; (embarrassed)
Ses03F_impro04_F020 :Frustration; :Overlap; ()
Ses03F_impro04_F021 :Other; :Overlap; (annoyed)
Ses03F_impro04_F022 :Frustration; :Overlap; ()
Ses03F_impro04_F023 :Neutral state; :Overlap; ()
Ses03F_impro04_F024 :Neutral state; :Overlap; ()
Ses03F_impro04_F025 :Other; :Overlap; (annoyed)
Ses03F_impro04_F026 :Happiness; :Overlap; ()
