Ses03F_impro04_M000 :Other; :Overlap; (supportive)
Ses03F_impro04_M001 :Other; :Overlap; (supportive)
Ses03F_impro04_M002 :Neutral state; :Overlap; ()
Ses03F_impro04_M003 :Other; :Overlap; (supportive)
Ses03F_impro04_M004 :Neutral state; :Overlap; ()
Ses03F_impro04_M005 :Other; :Overlap; (curious)
Ses03F_impro04_M006 :Neutral state; :Overlap; ()
Ses03F_impro04_M007 :Other; :Overlap; (optimistic)
Ses03F_impro04_M008 :Other; :Overlap; (supportive)
Ses03F_impro04_M009 :Other; :Overlap; (supportive)
Ses03F_impro04_M010 :Other; :Overlap; (supportive)
Ses03F_impro04_M011 :Other; :Overlap; (supportive)
Ses03F_impro04_M012 :Neutral state; :Overlap; ()
Ses03F_impro04_M013 :Neutral state; :Overlap; ()
Ses03F_impro04_M014 :Other; :Overlap; (curious)
Ses03F_impro04_M015 :Other; :Overlap; (curious)
Ses03F_impro04_M016 :Other; :Overlap; (supportive, playful)
Ses03F_impro04_M017 :Other; :Overlap; (optimistic)
Ses03F_impro04_M018 :Neutral state; :Overlap; ()
Ses03F_impro04_M019 :Neutral state; :Overlap; ()
Ses03F_impro04_M020 :Overlap; :Happiness; ()
