Ses03F_impro06_F000 :Sadness; :Overlap; ()
Ses03F_impro06_F001 :Sadness; :Overlap; ()
Ses03F_impro06_F002 :Sadness; :Overlap; ()
Ses03F_impro06_F003 :Sadness; :Overlap; ()
Ses03F_impro06_F004 :Sadness; :Overlap; ()
Ses03F_impro06_F005 :Sadness; :Overlap; ()
Ses03F_impro06_F006 :Sadness; :Overlap; ()
Ses03F_impro06_F007 :Sadness; :Overlap; ()
Ses03F_impro06_F008 :Happiness; :Overlap; ()
Ses03F_impro06_F009 :Neutral state; :Overlap; ()
Ses03F_impro06_F010 :Sadness; :Overlap; ()
Ses03F_impro06_F011 :Sadness; :Overlap; ()
Ses03F_impro06_F012 :Anger; :Overlap; ()
Ses03F_impro06_F013 :Other; :Overlap; (empathy)
Ses03F_impro06_F014 :Other; :Overlap; (sorrowful)
Ses03F_impro06_F015 :Other; :Overlap; (sorrowful)
Ses03F_impro06_F016 :Other; :Overlap; (sorrowful)
Ses03F_impro06_F017 :Other; :Overlap; (sorrowful)
Ses03F_impro06_F018 :Happiness; :Overlap; ()
Ses03F_impro06_F019 :Sadness; :Overlap; ()
Ses03F_impro06_F020 :Other; :Overlap; (sympathetic)
Ses03F_impro06_F021 :Sadness; :Overlap; ()
Ses03F_impro06_F022 :Sadness; :Overlap; ()
Ses03F_impro06_F023 :Sadness; :Overlap; ()
Ses03F_impro06_F024 :Sadness; :Overlap; ()
Ses03F_impro06_F025 :Anger; :Overlap; ()
Ses03F_impro06_F026 :Neutral state; :Overlap; ()
Ses03F_impro06_F027 :Happiness; :Overlap; ()
Ses03F_impro06_F028 :Happiness; :Overlap; ()
Ses03F_impro06_F029 :Other; :Sadness; :Overlap; ()
Ses03F_impro06_F030 :Sadness; :Overlap; ()
Ses03F_impro06_F031 :Sadness; :Overlap; ()
Ses03F_impro06_F032 :Happiness; :Overlap; ()
Ses03F_impro06_F033 :Other; :Overlap; (concern)
Ses03F_impro06_F034 :Other; :Overlap; (regret)
Ses03F_impro06_F035 :Happiness; :Overlap; ()
