Ses03F_impro07_F000 :Happiness; :Overlap; ()
Ses03F_impro07_F001 :Excited; :Overlap; ()
Ses03F_impro07_F002 :Happiness; :Overlap; ()
Ses03F_impro07_F003 :Surprise; :Overlap; ()
Ses03F_impro07_F004 :Frustration; :Overlap; ()
Ses03F_impro07_F005 :Excited; :Overlap; ()
Ses03F_impro07_F006 :Happiness; :Overlap; ()
Ses03F_impro07_F007 :Excited; :Happiness; :Overlap; ()
Ses03F_impro07_F008 :Surprise; :Overlap; ()
Ses03F_impro07_F009 :Excited; :Overlap; ()
Ses03F_impro07_F010 :Excited; :Overlap; ()
Ses03F_impro07_F011 :Excited; :Overlap; ()
Ses03F_impro07_F012 :Happiness; :Overlap; ()
Ses03F_impro07_F013 :Excited; :Happiness; :Overlap; ()
Ses03F_impro07_F014 :Excited; :Overlap; ()
Ses03F_impro07_F015 :Happiness; :Overlap; ()
Ses03F_impro07_F016 :Excited; :Overlap; ()
Ses03F_impro07_F017 :Happiness; :Overlap; ()
Ses03F_impro07_F018 :Other; :Overlap; (proud)
Ses03F_impro07_F019 :Other; :Overlap; (proud)
Ses03F_impro07_F020 :Other; :Overlap; (Hopeful)
Ses03F_impro07_F021 :Excited; :Overlap; ()
Ses03F_impro07_F022 :Excited; :Overlap; ()
Ses03F_impro07_F023 :Happiness; :Overlap; ()
Ses03F_impro07_F024 :Excited; :Overlap; ()
Ses03F_impro07_F025 :Excited; :Overlap; ()
Ses03F_impro07_F026 :Excited; :Overlap; ()
Ses03F_impro07_F027 :Other; :Overlap; (hopeful)
Ses03F_impro07_F028 :Excited; :Overlap; ()
Ses03F_impro07_F029 :Excited; :Overlap; ()
Ses03F_impro07_F030 :Surprise; :Overlap; ()
Ses03F_impro07_F031 :Happiness; :Overlap; ()
Ses03F_impro07_F032 :Surprise; :Overlap; ()
Ses03F_impro07_F033 :Other; :Overlap; (annoyed)
Ses03F_impro07_F034 :Happiness; :Overlap; ()
Ses03F_impro07_F035 :Happiness; :Overlap; ()
