Ses03M_impro02_F000 :Happiness; :Overlap; ()
Ses03M_impro02_F001 :Happiness; :Overlap; ()
Ses03M_impro02_F002 :Neutral state; :Overlap; ()
Ses03M_impro02_F003 :Other; :Overlap; (concern)
Ses03M_impro02_F004 :Other; :Overlap; (confusion)
Ses03M_impro02_F005 :Surprise; :Overlap; ()
Ses03M_impro02_F006 :Frustration; :Overlap; ()
Ses03M_impro02_F007 :Anger; :Overlap; ()
Ses03M_impro02_F008 :Frustration; :Surprise; :Overlap; ()
Ses03M_impro02_F009 :Frustration; :Overlap; ()
Ses03M_impro02_F010 :Sadness; :Overlap; ()
Ses03M_impro02_F011 :Other; :Overlap; (desperation)
Ses03M_impro02_F012 :Sadness; :Overlap; ()
Ses03M_impro02_F013 :Other; :Overlap; (bitterness)
Ses03M_impro02_F014 :Sadness; :Overlap; ()
Ses03M_impro02_F015 :Sadness; :Overlap; ()
Ses03M_impro02_F016 :Other; :Overlap; (desperation)
Ses03M_impro02_F017 :Frustration; :Overlap; ()
Ses03M_impro02_F018 :Frustration; :Overlap; ()
Ses03M_impro02_F019 :Other; :Overlap; (hopeful)
Ses03M_impro02_F020 :Other; :Sadness; :Overlap; ()
Ses03M_impro02_F021 :Sadness; :Overlap; ()
Ses03M_impro02_F022 :Sadness; :Overlap; ()
Ses03M_impro02_F023 :Frustration; :Overlap; ()
Ses03M_impro02_F024 :Frustration; :Overlap; ()
Ses03M_impro02_F025 :Fear; :Overlap; ()
Ses03M_impro02_F026 :Other; :Overlap; (bitterness)
Ses03M_impro02_F027 :Other; :Overlap; (doubt)
Ses03M_impro02_F028 :Frustration; :Overlap; ()
Ses03M_impro02_F029 :Frustration; :Overlap; ()
Ses03M_impro02_F030 :Other; :Overlap; (desperate)
Ses03M_impro02_F031 :Other; :Overlap; (hopeless)
Ses03M_impro02_F032 :Frustration; :Overlap; ()
Ses03M_impro02_F033 :Other; :Overlap; (Longing)
Ses03M_impro02_F034 :Anger; :Overlap; ()
Ses03M_impro02_F035 :Frustration; :Overlap; ()
Ses03M_impro02_F036 :Other; :Overlap; (hopeful)
Ses03M_impro02_F037 :Other; :Overlap; (hopeful)
