Ses03M_impro03_F000 :Overlap; :Happiness; ()
Ses03M_impro03_F001 :Excited; :Overlap; ()
Ses03M_impro03_F002 :Surprise; :Overlap; ()
Ses03M_impro03_F003 :Surprise; :Overlap; ()
Ses03M_impro03_F004 :Surprise; :Overlap; ()
Ses03M_impro03_F005 :Neutral state; :Overlap; ()
Ses03M_impro03_F006 :Frustration; :Overlap; ()
Ses03M_impro03_F007 :Neutral state; :Overlap; ()
Ses03M_impro03_F008 :Surprise; :Overlap; ()
Ses03M_impro03_F009 :Neutral state; :Overlap; ()
Ses03M_impro03_F010 :Happiness; :Overlap; ()
Ses03M_impro03_F011 :Other; :Overlap; (irritated)
Ses03M_impro03_F012 :Surprise; :Overlap; ()
Ses03M_impro03_F013 :Frustration; :Overlap; ()
Ses03M_impro03_F014 :Frustration; :Overlap; ()
Ses03M_impro03_F015 :Other; :Overlap; (irritated)
Ses03M_impro03_F016 :Neutral state; :Overlap; ()
Ses03M_impro03_F017 :Happiness; :Overlap; ()
Ses03M_impro03_F018 :Happiness; :Overlap; ()
Ses03M_impro03_F019 :Happiness; :Overlap; ()
Ses03M_impro03_F020 :Surprise; :Overlap; ()
Ses03M_impro03_F021 :Surprise; :Overlap; ()
Ses03M_impro03_F022 :Happiness; :Overlap; ()
Ses03M_impro03_F023 :Excited; :Overlap; ()
Ses03M_impro03_F024 :Frustration; :Overlap; ()
Ses03M_impro03_F025 :Happiness; :Overlap; ()
Ses03M_impro03_F026 :Surprise; :Overlap; ()
Ses03M_impro03_F027 :Other; :Overlap; (curious)
Ses03M_impro03_F028 :Surprise; :Overlap; ()
Ses03M_impro03_F029 :Surprise; :Overlap; ()
Ses03M_impro03_F030 :Frustration; :Overlap; ()
Ses03M_impro03_F031 :Frustration; :Overlap; ()
Ses03M_impro03_F032 :Surprise; :Overlap; ()
Ses03M_impro03_F033 :Frustration; :Overlap; ()
Ses03M_impro03_F034 :Disgust; :Overlap; ()
Ses03M_impro03_F035 :Frustration; :Overlap; ()
Ses03M_impro03_F036 :Frustration; :Overlap; ()
Ses03M_impro03_F037 :Frustration; :Overlap; ()
Ses03M_impro03_F038 :Surprise; :Overlap; ()
Ses03M_impro03_F039 :Other; :Overlap; (disappointment)
Ses03M_impro03_F040 :Other; :Overlap; (disappointment)
Ses03M_impro03_F041 :Anger; :Overlap; ()
Ses03M_impro03_F042 :Other; :Overlap; (desperate)
