Ses03M_impro03_M000 :Overlap; :Happiness; ()
Ses03M_impro03_M001 :Excited; :Overlap; ()
Ses03M_impro03_M002 :Excited; :Overlap; ()
Ses03M_impro03_M003 :Excited; :Overlap; ()
Ses03M_impro03_M004 :Overlap; :Happiness; ()
Ses03M_impro03_M005 :Overlap; :Happiness; ()
Ses03M_impro03_M006 :Overlap; :Happiness; ()
Ses03M_impro03_M007 :Excited; :Overlap; ()
Ses03M_impro03_M008 :Overlap; :Happiness; ()
Ses03M_impro03_M009 :Overlap; :Happiness; ()
Ses03M_impro03_M010 :Overlap; :Happiness; ()
Ses03M_impro03_M011 :Overlap; :Happiness; ()
Ses03M_impro03_M012 :Excited; :Overlap; ()
Ses03M_impro03_M013 :Overlap; :Happiness; ()
Ses03M_impro03_M014 :Overlap; :Happiness; ()
Ses03M_impro03_M015 :Overlap; :Happiness; ()
Ses03M_impro03_M016 :Other; :Overlap; (pensive)
Ses03M_impro03_M017 :Overlap; :Happiness; ()
Ses03M_impro03_M018 :Overlap; :Happiness; ()
Ses03M_impro03_M019 :Overlap; :Happiness; ()
Ses03M_impro03_M020 :Excited; :Overlap; ()
Ses03M_impro03_M021 :Overlap; :Happiness; ()
Ses03M_impro03_M022 :Other; :Overlap; (romantic)
Ses03M_impro03_M023 :Other; :Overlap; (romantic)
Ses03M_impro03_M024 :Overlap; :Happiness; ()
Ses03M_impro03_M025 :Overlap; :Happiness; ()
Ses03M_impro03_M026 :Overlap; :Happiness; ()
Ses03M_impro03_M027 :Overlap; :Happiness; ()
Ses03M_impro03_M028 :Overlap; :Happiness; ()
Ses03M_impro03_M029 :Excited; :Overlap; ()
Ses03M_impro03_M030 :Excited; :Overlap; :Happiness; ()
Ses03M_impro03_M031 :Overlap; :Happiness; ()
Ses03M_impro03_M032 :Overlap; :Happiness; ()
Ses03M_impro03_M033 :Overlap; :Happiness; ()
Ses03M_impro03_M034 :Overlap; :Happiness; ()
Ses03M_impro03_M035 :Excited; :Overlap; ()
Ses03M_impro03_M036 :Overlap; :Happiness; ()
Ses03M_impro03_M037 :Overlap; :Happiness; ()
Ses03M_impro03_M038 :Overlap; :Happiness; ()
Ses03M_impro03_M039 :Overlap; :Happiness; ()
Ses03M_impro03_M040 :Excited; :Overlap; ()
