Ses03M_impro04_F000 :Other; :Overlap; (concern)
Ses03M_impro04_F001 :Other; :Overlap; (concern)
Ses03M_impro04_F002 :Other; :Overlap; (sympathetic)
Ses03M_impro04_F003 :Other; :Overlap; (curiosity)
Ses03M_impro04_F004 :Other; :Overlap; (concern)
Ses03M_impro04_F005 :Surprise; :Overlap; ()
Ses03M_impro04_F006 :Other; :Overlap; (hopeful)
Ses03M_impro04_F007 :Other; :Overlap; (sympathetic)
Ses03M_impro04_F008 :Other; :Overlap; (sympathetic)
Ses03M_impro04_F009 :Other; :Overlap; (concern)
Ses03M_impro04_F010 :Surprise; :Overlap; ()
Ses03M_impro04_F011 :Surprise; :Overlap; ()
Ses03M_impro04_F012 :Other; :Overlap; (sympathetic)
Ses03M_impro04_F013 :Other; :Overlap; (hopeful)
Ses03M_impro04_F014 :Neutral state; :Overlap; ()
Ses03M_impro04_F015 :Other; :Overlap; (concern)
Ses03M_impro04_F016 :Surprise; :Overlap; ()
Ses03M_impro04_F017 :Other; :Overlap; (hopeful)
Ses03M_impro04_F018 :Other; :Overlap; (hopeful)
Ses03M_impro04_F019 :Surprise; :Overlap; ()
Ses03M_impro04_F020 :Surprise; :Overlap; ()
Ses03M_impro04_F021 :Surprise; :Overlap; ()
Ses03M_impro04_F022 :Happiness; :Overlap; ()
Ses03M_impro04_F023 :Other; :Overlap; (hopeful)
Ses03M_impro04_F024 :Other; :Overlap; (sympathetic)
Ses03M_impro04_F025 :Other; :Overlap; (hopeful)
Ses03M_impro04_F026 :Surprise; :Overlap; ()
Ses03M_impro04_F027 :Other; :Overlap; (hopeful)
Ses03M_impro04_F028 :Frustration; :Overlap; ()
Ses03M_impro04_F029 :Other; :Overlap; (concern)
Ses03M_impro04_F030 :Other; :Overlap; (concern)
Ses03M_impro04_F031 :Happiness; :Overlap; ()
Ses03M_impro04_F032 :Surprise; :Overlap; ()
