Ses03M_impro05a_F000 :act 3; :val 2; :dom 5; ()
Ses03M_impro05a_F001 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F002 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F003 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F004 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F005 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F006 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F007 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F008 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F009 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F010 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F011 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F012 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F013 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F014 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F015 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F016 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F017 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F018 :act 2; :val 3; :dom 4; ()
Ses03M_impro05a_F019 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F020 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F021 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F022 :act 2; :val 3; :dom 4; ()
Ses03M_impro05a_F023 :act 3; :val 3; :dom 4; ()
Ses03M_impro05a_F024 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F025 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F026 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F027 :act 3; :val 3; :dom 3; ()
Ses03M_impro05a_F028 :act 2; :val 4; :dom 4; ()
