Ses03M_impro05a_F000 :Neutral state; :Overlap; ()
Ses03M_impro05a_F001 :Neutral state; :Overlap; ()
Ses03M_impro05a_F002 :Surprise; :Overlap; ()
Ses03M_impro05a_F003 :Other; :Overlap; (flustered)
Ses03M_impro05a_F004 :Neutral state; :Overlap; ()
Ses03M_impro05a_F005 :Neutral state; :Overlap; ()
Ses03M_impro05a_F006 :Neutral state; :Overlap; ()
Ses03M_impro05a_F007 :Neutral state; :Overlap; ()
Ses03M_impro05a_F008 :Neutral state; :Overlap; ()
Ses03M_impro05a_F009 :Neutral state; :Overlap; ()
Ses03M_impro05a_F010 :Neutral state; :Overlap; ()
Ses03M_impro05a_F011 :Other; :Overlap; (uncomfortable)
Ses03M_impro05a_F012 :Other; :Overlap; (anxiety)
Ses03M_impro05a_F013 :Fear; :Overlap; ()
Ses03M_impro05a_F014 :Other; :Overlap; (flustered)
Ses03M_impro05a_F015 :Neutral state; :Overlap; ()
Ses03M_impro05a_F016 :Other; :Overlap; (concern)
Ses03M_impro05a_F017 :Happiness; :Overlap; ()
Ses03M_impro05a_F018 :Frustration; :Overlap; ()
Ses03M_impro05a_F019 :Other; :Overlap; (sorry)
Ses03M_impro05a_F020 :Neutral state; :Overlap; ()
Ses03M_impro05a_F021 :Neutral state; :Overlap; ()
Ses03M_impro05a_F022 :Fear; :Overlap; ()
Ses03M_impro05a_F023 :Fear; :Overlap; ()
Ses03M_impro05a_F024 :Other; :Overlap; (flustered)
Ses03M_impro05a_F025 :Neutral state; :Overlap; ()
Ses03M_impro05a_F026 :Frustration; :Overlap; ()
Ses03M_impro05a_F027 :Other; :Overlap; (offended)
Ses03M_impro05a_F028 :Anger; :Overlap; ()
