Ses03M_impro05a_M000 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M001 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M002 :act 1; :val 5; :dom 4; ()
Ses03M_impro05a_M003 :act 1; :val 5; :dom 4; ()
Ses03M_impro05a_M004 :act 2; :val 4; :dom 5; ()
Ses03M_impro05a_M005 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M006 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M007 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M008 :act 3; :val 4; :dom 4; ()
Ses03M_impro05a_M009 :act 3; :val 5; :dom 4; ()
Ses03M_impro05a_M010 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M011 :act 1; :val 5; :dom 4; ()
Ses03M_impro05a_M012 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M013 :act 1; :val 5; :dom 4; ()
Ses03M_impro05a_M014 :act 1; :val 4; :dom 3; ()
Ses03M_impro05a_M015 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M016 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M017 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M018 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M019 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M020 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M021 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M022 :act 4; :val 5; :dom 4; ()
Ses03M_impro05a_M023 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M024 :act 1; :val 5; :dom 5; ()
Ses03M_impro05a_M025 :act 2; :val 5; :dom 5; ()
Ses03M_impro05a_M026 :act 2; :val 5; :dom 5; ()
Ses03M_impro05a_M027 :act 2; :val 5; :dom 4; ()
Ses03M_impro05a_M028 :act 2; :val 5; :dom 4; ()
Ses03M_impro05a_M029 :act 2; :val 4; :dom 4; ()
Ses03M_impro05a_M030 :act 1; :val 1; :dom 4; ()
