Ses03M_impro05b_M000 :act 3; :val 4; :dom 3; ()
Ses03M_impro05b_M001 :act 3; :val 4; :dom 3; ()
Ses03M_impro05b_M002 :act 3; :val 4; :dom 3; ()
Ses03M_impro05b_M003 :act 3; :val 4; :dom 3; ()
Ses03M_impro05b_M004 :act 2; :val 4; :dom 4; ()
Ses03M_impro05b_M005 :act 2; :val 4; :dom 4; ()
Ses03M_impro05b_M006 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_M007 :act 2; :val 4; :dom 4; ()
Ses03M_impro05b_M008 :act 2; :val 5; :dom 4; ()
Ses03M_impro05b_M009 :act 3; :val 4; :dom 3; ()
Ses03M_impro05b_M010 :act 2; :val 5; :dom 4; ()
Ses03M_impro05b_M011 :act 2; :val 5; :dom 4; ()
Ses03M_impro05b_M012 :act 1; :val 5; :dom 5; ()
Ses03M_impro05b_M013 :act 1; :val 5; :dom 5; ()
Ses03M_impro05b_M014 :act 2; :val 5; :dom 4; ()
Ses03M_impro05b_M015 :act 2; :val 4; :dom 3; ()
Ses03M_impro05b_M016 :act 1; :val 5; :dom 5; ()
Ses03M_impro05b_M017 :act 3; :val 5; :dom 4; ()
Ses03M_impro05b_M018 :act 3; :val 5; :dom 5; ()
Ses03M_impro05b_M019 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_M020 :act 2; :val 5; :dom 4; ()
Ses03M_impro05b_M021 :act 1; :val 5; :dom 5; ()
Ses03M_impro05b_M022 :act 1; :val 5; :dom 5; ()
Ses03M_impro05b_M023 :act 2; :val 5; :dom 4; ()
Ses03M_impro05b_M024 :act 2; :val 5; :dom 5; ()
Ses03M_impro05b_M025 :act 2; :val 5; :dom 5; ()
Ses03M_impro05b_M026 :act 1; :val 5; :dom 5; ()
Ses03M_impro05b_M027 :act 2; :val 5; :dom 5; ()
Ses03M_impro05b_M028 :act 2; :val 5; :dom 5; ()
Ses03M_impro05b_M029 :act 1; :val 5; :dom 5; ()
Ses03M_impro05b_M030 :act 2; :val 5; :dom 5; ()
Ses03M_impro05b_M031 :act 1; :val 5; :dom 5; ()
Ses03M_impro05b_M032 :act 1; :val 5; :dom 5; ()
Ses03M_impro05b_M033 :act 3; :val 5; :dom 4; ()
