Ses03M_impro06_F000 :Other; :Overlap; (worry)
Ses03M_impro06_F001 :Other; :Overlap; (Compassion)
Ses03M_impro06_F002 :Sadness; :Overlap; ()
Ses03M_impro06_F003 :Sadness; :Overlap; ()
Ses03M_impro06_F004 :Other; :Overlap; (compassion)
Ses03M_impro06_F005 :Other; :Overlap; (compassion)
Ses03M_impro06_F006 :Neutral state; :Overlap; ()
Ses03M_impro06_F007 :Other; :Overlap; (concern)
Ses03M_impro06_F008 :Other; :Overlap; (sorrowful)
Ses03M_impro06_F009 :Other; :Overlap; (concern)
Ses03M_impro06_F010 :Other; :Overlap; (compassion)
Ses03M_impro06_F011 :Other; :Overlap; (compassion)
Ses03M_impro06_F012 :Other; :Overlap; (concern)
Ses03M_impro06_F013 :Neutral state; :Overlap; ()
Ses03M_impro06_F014 :Other; :Overlap; (compassion)
Ses03M_impro06_F015 :Other; :Overlap; (sorrowful)
Ses03M_impro06_F016 :Other; :Overlap; (hopeful)
Ses03M_impro06_F017 :Other; :Overlap; (hopeful)
Ses03M_impro06_F018 :Neutral state; :Overlap; ()
Ses03M_impro06_F019 :Other; :Overlap; (regret)
Ses03M_impro06_F020 :Other; :Overlap; (regret)
