Ses03M_impro08a_F000 :Frustration; :Overlap; ()
Ses03M_impro08a_F001 :Frustration; :Overlap; ()
Ses03M_impro08a_F002 :Frustration; :Overlap; ()
Ses03M_impro08a_F003 :Frustration; :Overlap; ()
Ses03M_impro08a_F004 :Neutral state; :Overlap; ()
Ses03M_impro08a_F005 :Neutral state; :Overlap; ()
Ses03M_impro08a_F006 :Frustration; :Overlap; ()
Ses03M_impro08a_F007 :Frustration; :Overlap; ()
Ses03M_impro08a_F008 :Frustration; :Overlap; ()
Ses03M_impro08a_F009 :Frustration; :Overlap; ()
Ses03M_impro08a_F010 :Other; :Overlap; (bitterness)
Ses03M_impro08a_F011 :Anger; :Overlap; ()
Ses03M_impro08a_F012 :Fear; :Overlap; ()
Ses03M_impro08a_F013 :Anger; :Overlap; ()
Ses03M_impro08a_F014 :Frustration; :Overlap; ()
Ses03M_impro08a_F015 :Anger; :Overlap; ()
Ses03M_impro08a_F016 :Other; :Overlap; (annoyed)
Ses03M_impro08a_F017 :Frustration; :Overlap; ()
Ses03M_impro08a_F018 :Frustration; :Overlap; ()
Ses03M_impro08a_F019 :Frustration; :Overlap; ()
Ses03M_impro08a_F020 :Frustration; :Overlap; ()
Ses03M_impro08a_F021 :Fear; :Overlap; ()
Ses03M_impro08a_F022 :Anger; :Overlap; ()
Ses03M_impro08a_F023 :Frustration; :Overlap; ()
Ses03M_impro08a_F024 :Frustration; :Overlap; ()
Ses03M_impro08a_F025 :Anger; :Overlap; ()
Ses03M_impro08a_F026 :Frustration; :Overlap; ()
Ses03M_impro08a_F027 :Frustration; :Overlap; ()
Ses03M_impro08a_F028 :Anger; :Overlap; ()
Ses03M_impro08a_F029 :Frustration; :Overlap; ()
Ses03M_impro08a_F030 :Neutral state; :Overlap; ()
Ses03M_impro08a_F031 :Frustration; :Overlap; ()
Ses03M_impro08a_F032 :Anger; :Overlap; ()
Ses03M_impro08a_F033 :Neutral state; :Overlap; ()
Ses03M_impro08a_F034 :Anger; :Overlap; ()
Ses03M_impro08a_F035 :Frustration; :Overlap; ()
