Ses03M_impro08a_M000 :Neutral state; :Overlap; :Happiness; ()
Ses03M_impro08a_M001 :Neutral state; :Overlap; ()
Ses03M_impro08a_M002 :Neutral state; :Overlap; ()
Ses03M_impro08a_M003 :Neutral state; :Overlap; ()
Ses03M_impro08a_M004 :Neutral state; :Overlap; ()
Ses03M_impro08a_M005 :Neutral state; :Overlap; ()
Ses03M_impro08a_M006 :Other; :Overlap; (concerned)
Ses03M_impro08a_M007 :Neutral state; :Overlap; ()
Ses03M_impro08a_M008 :Neutral state; :Overlap; ()
Ses03M_impro08a_M009 :Neutral state; :Overlap; ()
Ses03M_impro08a_M010 :Other; :Overlap; (helpful)
Ses03M_impro08a_M011 :Neutral state; :Overlap; ()
Ses03M_impro08a_M012 :Neutral state; :Overlap; ()
Ses03M_impro08a_M013 :Neutral state; :Overlap; ()
Ses03M_impro08a_M014 :Neutral state; :Other; :Overlap; (defensive)
Ses03M_impro08a_M015 :Other; :Overlap; (firm)
Ses03M_impro08a_M016 :Neutral state; :Overlap; ()
Ses03M_impro08a_M017 :Neutral state; :Overlap; ()
Ses03M_impro08a_M018 :Sadness; :Overlap; ()
Ses03M_impro08a_M019 :Other; :Overlap; (helpful)
Ses03M_impro08a_M020 :Other; :Overlap; (apologetic)
Ses03M_impro08a_M021 :Neutral state; :Overlap; ()
Ses03M_impro08a_M022 :Neutral state; :Overlap; ()
Ses03M_impro08a_M023 :Neutral state; :Overlap; ()
Ses03M_impro08a_M024 :Neutral state; :Overlap; ()
Ses03M_impro08a_M025 :Neutral state; :Overlap; ()
Ses03M_impro08a_M026 :Neutral state; :Overlap; ()
Ses03M_impro08a_M027 :Neutral state; :Overlap; ()
