Ses03M_impro08b_F000 :act 4; :val 3; :dom 5; ()
Ses03M_impro08b_F001 :act 3; :val 3; :dom 4; ()
Ses03M_impro08b_F002 :act 2; :val 4; :dom 4; ()
Ses03M_impro08b_F003 :act 4; :val 3; :dom 3; ()
Ses03M_impro08b_F004 :act 1; :val 4; :dom 5; ()
Ses03M_impro08b_F005 :act 1; :val 4; :dom 4; ()
Ses03M_impro08b_F006 :act 1; :val 4; :dom 4; ()
Ses03M_impro08b_F007 :act 1; :val 4; :dom 5; ()
Ses03M_impro08b_F008 :act 2; :val 3; :dom 4; ()
Ses03M_impro08b_F009 :act 2; :val 3; :dom 4; ()
Ses03M_impro08b_F010 :act 2; :val 3; :dom 4; ()
Ses03M_impro08b_F011 :act 2; :val 3; :dom 5; ()
Ses03M_impro08b_F012 :act 1; :val 3; :dom 4; ()
Ses03M_impro08b_F013 :act 1; :val 4; :dom 5; ()
Ses03M_impro08b_F014 :act 2; :val 3; :dom 4; ()
Ses03M_impro08b_F015 :act 2; :val 3; :dom 4; ()
Ses03M_impro08b_F016 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_F017 :act 3; :val 3; :dom 4; ()
Ses03M_impro08b_F018 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_F019 :act 3; :val 3; :dom 4; ()
Ses03M_impro08b_F020 :act 4; :val 3; :dom 3; ()
Ses03M_impro08b_F021 :act 4; :val 3; :dom 3; ()
Ses03M_impro08b_F022 :act 4; :val 3; :dom 4; ()
Ses03M_impro08b_F023 :act 4; :val 3; :dom 1; ()
Ses03M_impro08b_F024 :act 4; :val 3; :dom 3; ()
