Ses03M_impro08b_F000 :Frustration; :Overlap; ()
Ses03M_impro08b_F001 :Frustration; :Overlap; ()
Ses03M_impro08b_F002 :Frustration; :Overlap; ()
Ses03M_impro08b_F003 :Frustration; :Overlap; ()
Ses03M_impro08b_F004 :Anger; :Overlap; ()
Ses03M_impro08b_F005 :Anger; :Overlap; ()
Ses03M_impro08b_F006 :Frustration; :Overlap; ()
Ses03M_impro08b_F007 :Frustration; :Overlap; ()
Ses03M_impro08b_F008 :Anger; :Overlap; ()
Ses03M_impro08b_F009 :Frustration; :Overlap; ()
Ses03M_impro08b_F010 :Frustration; :Overlap; ()
Ses03M_impro08b_F011 :Anger; :Overlap; ()
Ses03M_impro08b_F012 :Anger; :Overlap; ()
Ses03M_impro08b_F013 :Anger; :Overlap; ()
Ses03M_impro08b_F014 :Frustration; :Overlap; ()
Ses03M_impro08b_F015 :Other; :Overlap; (annoyed)
Ses03M_impro08b_F016 :Other; :Overlap; (doubtful)
Ses03M_impro08b_F017 :Other; :Overlap; (impatient)
Ses03M_impro08b_F018 :Other; :Overlap; (impatient)
Ses03M_impro08b_F019 :Frustration; :Overlap; ()
Ses03M_impro08b_F020 :Neutral state; :Overlap; ()
Ses03M_impro08b_F021 :Neutral state; :Overlap; ()
Ses03M_impro08b_F022 :Other; :Overlap; (doubt)
Ses03M_impro08b_F023 :Neutral state; :Overlap; ()
Ses03M_impro08b_F024 :Neutral state; :Overlap; ()
