Ses04F_impro06_F000 :act 4; :val 4; :dom 2; ()
Ses04F_impro06_F001 :act 3; :val 4; :dom 3; ()
Ses04F_impro06_F002 :act 3; :val 4; :dom 3; ()
Ses04F_impro06_F003 :act 4; :val 4; :dom 2; ()
Ses04F_impro06_F004 :act 3; :val 4; :dom 3; ()
Ses04F_impro06_F005 :act 3; :val 4; :dom 4; ()
Ses04F_impro06_F006 :act 4; :val 4; :dom 3; ()
Ses04F_impro06_F007 :act 4; :val 4; :dom 2; ()
Ses04F_impro06_F008 :act 3; :val 2; :dom 3; ()
Ses04F_impro06_F009 :act 3; :val 2; :dom 3; ()
Ses04F_impro06_F010 :act 4; :val 3; :dom 2; ()
Ses04F_impro06_M000 :act 4; :val 3; :dom 2; ()
Ses04F_impro06_M001 :act 3; :val 4; :dom 3; ()
Ses04F_impro06_M002 :act 3; :val 3; :dom 2; ()
Ses04F_impro06_M003 :act 4; :val 3; :dom 2; ()
Ses04F_impro06_M004 :act 3; :val 3; :dom 3; ()
Ses04F_impro06_M005 :act 3; :val 3; :dom 3; ()
Ses04F_impro06_M006 :act 3; :val 3; :dom 3; ()
Ses04F_impro06_M007 :act 4; :val 3; :dom 3; ()
Ses04F_impro06_M008 :act 4; :val 3; :dom 2; ()
Ses04F_impro06_M009 :act 3; :val 3; :dom 3; ()
Ses04F_impro06_M010 :act 4; :val 3; :dom 2; ()
Ses04F_impro06_M011 :act 3; :val 3; :dom 3; ()
Ses04F_impro06_M012 :act 3; :val 2; :dom 2; ()
Ses04F_impro06_M013 :act 3; :val 2; :dom 3; ()
Ses04F_impro06_M014 :act 4; :val 3; :dom 2; ()
