Ses04F_impro05_F000 :Anger; ()
Ses04F_impro05_F001 :Anger; ()
Ses04F_impro05_F002 :Anger; ()
Ses04F_impro05_F003 :Frustration; ()
Ses04F_impro05_F004 :Anger; ()
Ses04F_impro05_F005 :Anger; ()
Ses04F_impro05_F006 :Anger; ()
Ses04F_impro05_F007 :Surprise; ()
Ses04F_impro05_F008 :Anger; ()
Ses04F_impro05_F009 :Anger; ()
Ses04F_impro05_F010 :Anger; ()
Ses04F_impro05_F011 :Anger; ()
Ses04F_impro05_F012 :Anger; ()
Ses04F_impro05_F013 :Anger; ()
Ses04F_impro05_F014 :Anger; ()
Ses04F_impro05_F015 :Anger; ()
Ses04F_impro05_F016 :Anger; ()
Ses04F_impro05_F017 :Anger; ()
Ses04F_impro05_F018 :Anger; ()
Ses04F_impro05_F019 :Anger; ()
Ses04F_impro05_M000 :Frustration; ()
Ses04F_impro05_M001 :Frustration; ()
Ses04F_impro05_M002 :Frustration; ()
Ses04F_impro05_M003 :Frustration; ()
Ses04F_impro05_M004 :Anger; ()
Ses04F_impro05_M005 :Frustration; ()
Ses04F_impro05_M006 :Frustration; ()
Ses04F_impro05_M007 :Frustration; ()
Ses04F_impro05_M008 :Frustration; ()
Ses04F_impro05_M009 :Frustration; ()
Ses04F_impro05_M010 :Frustration; ()
Ses04F_impro05_M011 :Frustration; ()
Ses04F_impro05_M012 :Frustration; ()
Ses04F_impro05_M013 :Frustration; ()
Ses04F_impro05_M014 :Frustration; ()
Ses04F_impro05_M015 :Frustration; ()
Ses04F_impro05_M016 :Frustration; ()
Ses04F_impro05_M017 :Frustration; ()
Ses04F_impro05_M018 :Frustration; ()
Ses04F_impro05_M019 :Frustration; ()
Ses04F_impro05_M020 :Frustration; ()
Ses04F_impro05_M021 :Frustration; ()
Ses04F_impro05_M022 :Frustration; ()
Ses04F_impro05_M023 :Frustration; ()
Ses04F_impro05_M024 :Frustration; ()
