Ses04F_script01_2_F000 :Anger; ()
Ses04F_script01_2_F001 :Anger; ()
Ses04F_script01_2_F002 :Anger; ()
Ses04F_script01_2_F003 :Anger; ()
Ses04F_script01_2_F004 :Anger; ()
Ses04F_script01_2_F005 :Anger; ()
Ses04F_script01_2_F006 :Anger; ()
Ses04F_script01_2_F007 :Anger; ()
Ses04F_script01_2_F008 :Anger; ()
Ses04F_script01_2_F009 :Anger; ()
Ses04F_script01_2_F010 :Anger; ()
Ses04F_script01_2_F011 :Anger; ()
Ses04F_script01_2_F012 :Anger; ()
Ses04F_script01_2_F013 :Anger; ()
Ses04F_script01_2_F014 :Anger; ()
Ses04F_script01_2_F015 :Anger; ()
Ses04F_script01_2_F016 :Anger; ()
Ses04F_script01_2_F017 :Sadness; ()
Ses04F_script01_2_F018 :Excited; ()
Ses04F_script01_2_F019 :Sadness; ()
Ses04F_script01_2_F020 :Sadness; ()
Ses04F_script01_2_F021 :Sadness; ()
Ses04F_script01_2_M000 :Neutral state; ()
Ses04F_script01_2_M001 :Neutral state; ()
Ses04F_script01_2_M002 :Neutral state; ()
Ses04F_script01_2_M003 :Anger; ()
Ses04F_script01_2_M004 :Neutral state; ()
Ses04F_script01_2_M005 :Neutral state; ()
Ses04F_script01_2_M006 :Frustration; ()
Ses04F_script01_2_M007 :Neutral state; ()
Ses04F_script01_2_M008 :Neutral state; ()
Ses04F_script01_2_M009 :Anger; ()
Ses04F_script01_2_M010 :Frustration; ()
Ses04F_script01_2_M011 :Frustration; ()
Ses04F_script01_2_M012 :Anger; ()
Ses04F_script01_2_M013 :Neutral state; ()
Ses04F_script01_2_M014 :Frustration; ()
Ses04F_script01_2_M015 :Frustration; ()
Ses04F_script01_2_M016 :Surprise; ()
Ses04F_script01_2_M017 :Anger; ()
Ses04F_script01_2_M018 :Frustration; ()
