Ses04M_impro02_F000 :Disgust; ()
Ses04M_impro02_F001 :Anger; ()
Ses04M_impro02_F002 :Anger; ()
Ses04M_impro02_F003 :Frustration; ()
Ses04M_impro02_F004 :Sadness; ()
Ses04M_impro02_F005 :Anger; ()
Ses04M_impro02_F006 :Sadness; :Anger; ()
Ses04M_impro02_F007 :Sadness; ()
Ses04M_impro02_F008 :Frustration; ()
Ses04M_impro02_F009 :Sadness; ()
Ses04M_impro02_F010 :Frustration; ()
Ses04M_impro02_F011 :Anger; ()
Ses04M_impro02_F012 :Anger; ()
Ses04M_impro02_F013 :Anger; ()
Ses04M_impro02_F014 :Anger; ()
Ses04M_impro02_F015 :Sadness; :Anger; ()
Ses04M_impro02_F016 :Frustration; ()
Ses04M_impro02_F017 :Anger; ()
Ses04M_impro02_F018 :Frustration; ()
Ses04M_impro02_F019 :Anger; ()
Ses04M_impro02_F020 :Sadness; ()
Ses04M_impro02_F021 :Anger; ()
Ses04M_impro02_F022 :Anger; ()
Ses04M_impro02_F023 :Anger; ()
Ses04M_impro02_F024 :Anger; ()
Ses04M_impro02_F025 :Anger; ()
Ses04M_impro02_F026 :Anger; ()
Ses04M_impro02_F027 :Anger; ()
Ses04M_impro02_F028 :Anger; ()
Ses04M_impro02_F029 :Anger; ()
Ses04M_impro02_F030 :Anger; ()
Ses04M_impro02_F031 :Sadness; ()
Ses04M_impro02_M000 :Sadness; ()
Ses04M_impro02_M001 :Frustration; ()
Ses04M_impro02_M002 :Frustration; ()
Ses04M_impro02_M003 :Frustration; ()
Ses04M_impro02_M004 :Frustration; ()
Ses04M_impro02_M005 :Frustration; ()
Ses04M_impro02_M006 :Frustration; ()
Ses04M_impro02_M007 :Frustration; ()
Ses04M_impro02_M008 :Neutral state; ()
Ses04M_impro02_M009 :Frustration; ()
Ses04M_impro02_M010 :Frustration; ()
Ses04M_impro02_M011 :Frustration; ()
Ses04M_impro02_M012 :Frustration; ()
Ses04M_impro02_M013 :Frustration; ()
Ses04M_impro02_M014 :Frustration; ()
Ses04M_impro02_M015 :Frustration; ()
Ses04M_impro02_M016 :Neutral state; ()
Ses04M_impro02_M017 :Frustration; ()
Ses04M_impro02_M018 :Frustration; ()
Ses04M_impro02_M019 :Frustration; ()
Ses04M_impro02_M020 :Frustration; ()
Ses04M_impro02_M021 :Frustration; ()
Ses04M_impro02_M022 :Frustration; ()
Ses04M_impro02_M023 :Frustration; ()
Ses04M_impro02_M024 :Sadness; ()
Ses04M_impro02_M025 :Frustration; ()
Ses04M_impro02_M026 :Frustration; ()
Ses04M_impro02_M027 :Frustration; ()
Ses04M_impro02_M028 :Frustration; ()
Ses04M_impro02_M029 :Frustration; ()
Ses04M_impro02_M030 :Frustration; ()
Ses04M_impro02_M031 :Frustration; ()
Ses04M_impro02_M032 :Frustration; ()
Ses04M_impro02_M033 :Frustration; ()
Ses04M_impro02_M034 :Frustration; ()
Ses04M_impro02_M035 :Anger; ()
