Ses04M_script01_3_F000 :Happiness; ()
Ses04M_script01_3_F001 :Happiness; ()
Ses04M_script01_3_F002 :Happiness; ()
Ses04M_script01_3_F003 :Sadness; ()
Ses04M_script01_3_F004 :Sadness; ()
Ses04M_script01_3_F005 :Sadness; ()
Ses04M_script01_3_F006 :Sadness; ()
Ses04M_script01_3_F007 :Sadness; ()
Ses04M_script01_3_F008 :Happiness; ()
Ses04M_script01_3_F009 :Happiness; ()
Ses04M_script01_3_F010 :Sadness; ()
Ses04M_script01_3_F011 :Happiness; ()
Ses04M_script01_3_F012 :Happiness; ()
Ses04M_script01_3_F013 :Happiness; ()
Ses04M_script01_3_F014 :Happiness; ()
Ses04M_script01_3_F015 :Happiness; ()
Ses04M_script01_3_F016 :Happiness; ()
Ses04M_script01_3_F017 :Sadness; ()
Ses04M_script01_3_F018 :Sadness; ()
Ses04M_script01_3_F019 :Sadness; ()
Ses04M_script01_3_F020 :Sadness; ()
Ses04M_script01_3_F021 :Sadness; ()
Ses04M_script01_3_F022 :Sadness; ()
Ses04M_script01_3_F023 :Sadness; ()
Ses04M_script01_3_F024 :Sadness; ()
Ses04M_script01_3_F025 :Sadness; ()
Ses04M_script01_3_F026 :Sadness; ()
Ses04M_script01_3_F027 :Happiness; ()
Ses04M_script01_3_M000 :Happiness; ()
Ses04M_script01_3_M001 :Happiness; ()
Ses04M_script01_3_M002 :Surprise; ()
Ses04M_script01_3_M003 :Surprise; ()
Ses04M_script01_3_M004 :Sadness; ()
Ses04M_script01_3_M005 :Sadness; ()
Ses04M_script01_3_M006 :Sadness; ()
Ses04M_script01_3_M007 :Sadness; ()
Ses04M_script01_3_M008 :Happiness; ()
Ses04M_script01_3_M009 :Happiness; ()
Ses04M_script01_3_M010 :Sadness; ()
Ses04M_script01_3_M011 :Sadness; ()
Ses04M_script01_3_M012 :Sadness; ()
Ses04M_script01_3_M013 :Surprise; ()
Ses04M_script01_3_M014 :Happiness; ()
Ses04M_script01_3_M015 :Happiness; ()
Ses04M_script01_3_M016 :Happiness; ()
Ses04M_script01_3_M017 :Happiness; ()
Ses04M_script01_3_M018 :Happiness; ()
Ses04M_script01_3_M019 :Surprise; ()
Ses04M_script01_3_M020 :Happiness; ()
Ses04M_script01_3_M021 :Sadness; ()
Ses04M_script01_3_M022 :Sadness; ()
Ses04M_script01_3_M023 :Sadness; ()
Ses04M_script01_3_M024 :Sadness; ()
Ses04M_script01_3_M025 :Sadness; ()
Ses04M_script01_3_M026 :Sadness; ()
Ses04M_script01_3_M027 :Sadness; ()
Ses04M_script01_3_M028 :Sadness; ()
Ses04M_script01_3_M029 :Anger; ()
Ses04M_script01_3_M030 :Sadness; ()
Ses04M_script01_3_M031 :Sadness; ()
Ses04M_script01_3_M032 :Sadness; ()
Ses04M_script01_3_M033 :Sadness; ()
Ses04M_script01_3_M034 :Sadness; ()
Ses04M_script01_3_M035 :Sadness; ()
Ses04M_script01_3_M036 :Happiness; ()
Ses04M_script01_3_M037 :Happiness; ()
