Ses05M_script01_1b_F000 :act 4; :val 4; :dom 3; ()
Ses05M_script01_1b_F001 :act 3; :val 4; :dom 3; ()
Ses05M_script01_1b_F002 :act 4; :val 4; :dom 3; ()
Ses05M_script01_1b_F003 :act 4; :val 4; :dom 3; ()
Ses05M_script01_1b_F004 :act 4; :val 4; :dom 3; ()
Ses05M_script01_1b_F005 :act 4; :val 4; :dom 4; ()
Ses05M_script01_1b_F006 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_F007 :act 4; :val 4; :dom 3; ()
Ses05M_script01_1b_F008 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_F009 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_F010 :act 3; :val 4; :dom 3; ()
Ses05M_script01_1b_F011 :act 3; :val 4; :dom 3; ()
Ses05M_script01_1b_F012 :act 2; :val 5; :dom 4; ()
Ses05M_script01_1b_F013 :act 4; :val 3; :dom 4; ()
Ses05M_script01_1b_F014 :act 3; :val 3; :dom 4; ()
Ses05M_script01_1b_F015 :act 4; :val 3; :dom 3; ()
Ses05M_script01_1b_F016 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_F017 :act 3; :val 4; :dom 2; ()
Ses05M_script01_1b_F018 :act 3; :val 5; :dom 4; ()
Ses05M_script01_1b_F019 :act 3; :val 4; :dom 5; ()
Ses05M_script01_1b_F020 :act 3; :val 4; :dom 3; ()
Ses05M_script01_1b_F021 :act 4; :val 4; :dom 3; ()
Ses05M_script01_1b_F022 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_F023 :act 4; :val 4; :dom 4; ()
Ses05M_script01_1b_F024 :act 3; :val 4; :dom 3; ()
Ses05M_script01_1b_F025 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_F026 :act 4; :val 3; :dom 4; ()
Ses05M_script01_1b_F027 :act 4; :val 5; :dom 4; ()
Ses05M_script01_1b_F028 :act 4; :val 5; :dom 3; ()
Ses05M_script01_1b_F029 :act 4; :val 4; :dom 3; ()
Ses05M_script01_1b_F030 :act 3; :val 4; :dom 3; ()
Ses05M_script01_1b_F031 :act 2; :val 5; :dom 5; ()
Ses05M_script01_1b_F032 :act 2; :val 5; :dom 4; ()
Ses05M_script01_1b_F033 :act 2; :val 5; :dom 5; ()
Ses05M_script01_1b_F034 :act 3; :val 3; :dom 4; ()
Ses05M_script01_1b_F035 :act 3; :val 4; :dom 5; ()
Ses05M_script01_1b_F036 :act 4; :val 4; :dom 3; ()
Ses05M_script01_1b_F037 :act 4; :val 5; :dom 2; ()
Ses05M_script01_1b_F038 :act 4; :val 3; :dom 3; ()
Ses05M_script01_1b_M000 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M001 :act 3; :val 4; :dom 3; ()
Ses05M_script01_1b_M002 :act 4; :val 4; :dom 4; ()
Ses05M_script01_1b_M003 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M004 :act 3; :val 4; :dom 3; ()
Ses05M_script01_1b_M005 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M006 :act 4; :val 4; :dom 4; ()
Ses05M_script01_1b_M007 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M008 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M009 :act 2; :val 4; :dom 5; ()
Ses05M_script01_1b_M010 :act 2; :val 5; :dom 5; ()
Ses05M_script01_1b_M011 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M012 :act 2; :val 4; :dom 5; ()
Ses05M_script01_1b_M013 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M014 :act 3; :val 3; :dom 4; ()
Ses05M_script01_1b_M015 :act 3; :val 3; :dom 4; ()
Ses05M_script01_1b_M016 :act 2; :val 4; :dom 4; ()
Ses05M_script01_1b_M017 :act 2; :val 4; :dom 5; ()
Ses05M_script01_1b_M018 :act 2; :val 5; :dom 5; ()
Ses05M_script01_1b_M019 :act 2; :val 5; :dom 5; ()
Ses05M_script01_1b_M020 :act 1; :val 5; :dom 5; ()
Ses05M_script01_1b_M021 :act 2; :val 5; :dom 5; ()
Ses05M_script01_1b_M022 :act 1; :val 5; :dom 5; ()
Ses05M_script01_1b_M023 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M024 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M025 :act 2; :val 5; :dom 5; ()
Ses05M_script01_1b_M026 :act 3; :val 5; :dom 4; ()
Ses05M_script01_1b_M027 :act 2; :val 4; :dom 4; ()
Ses05M_script01_1b_M028 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M029 :act 2; :val 4; :dom 5; ()
Ses05M_script01_1b_M030 :act 3; :val 3; :dom 4; ()
Ses05M_script01_1b_M031 :act 3; :val 5; :dom 5; ()
Ses05M_script01_1b_M032 :act 3; :val 4; :dom 4; ()
Ses05M_script01_1b_M033 :act 1; :val 4; :dom 4; ()
Ses05M_script01_1b_M034 :act 2; :val 5; :dom 5; ()
Ses05M_script01_1b_M035 :act 3; :val 5; :dom 5; ()
Ses05M_script01_1b_M036 :act 1; :val 5; :dom 5; ()
Ses05M_script01_1b_M037 :act 3; :val 4; :dom 5; ()
Ses05M_script01_1b_M038 :act 2; :val 4; :dom 4; ()
Ses05M_script01_1b_M039 :act 3; :val 5; :dom 5; ()
Ses05M_script01_1b_M040 :act 3; :val 5; :dom 5; ()
Ses05M_script01_1b_M041 :act 2; :val 4; :dom 4; ()
