Ses05M_script01_2_F000 :act 4; :val 3; :dom 2; ()
Ses05M_script01_2_F001 :act 4; :val 3; :dom 3; ()
Ses05M_script01_2_F002 :act 3; :val 3; :dom 4; ()
Ses05M_script01_2_F003 :act 4; :val 3; :dom 3; ()
Ses05M_script01_2_F004 :act 4; :val 3; :dom 3; ()
Ses05M_script01_2_F005 :act 3; :val 4; :dom 3; ()
Ses05M_script01_2_F006 :act 3; :val 4; :dom 3; ()
Ses05M_script01_2_F007 :act 3; :val 4; :dom 4; ()
Ses05M_script01_2_F008 :act 4; :val 4; :dom 4; ()
Ses05M_script01_2_F009 :act 3; :val 3; :dom 4; ()
Ses05M_script01_2_F010 :act 2; :val 3; :dom 4; ()
Ses05M_script01_2_F011 :act 2; :val 4; :dom 4; ()
Ses05M_script01_2_F012 :act 2; :val 4; :dom 5; ()
Ses05M_script01_2_F013 :act 4; :val 4; :dom 3; ()
Ses05M_script01_2_F014 :act 3; :val 3; :dom 3; ()
Ses05M_script01_2_F015 :act 3; :val 4; :dom 4; ()
Ses05M_script01_2_F016 :act 4; :val 3; :dom 2; ()
Ses05M_script01_2_F017 :act 3; :val 4; :dom 2; ()
Ses05M_script01_2_M000 :act 4; :val 3; :dom 3; ()
Ses05M_script01_2_M001 :act 3; :val 3; :dom 3; ()
Ses05M_script01_2_M002 :act 3; :val 3; :dom 3; ()
Ses05M_script01_2_M003 :act 3; :val 3; :dom 3; ()
Ses05M_script01_2_M004 :act 3; :val 3; :dom 3; ()
Ses05M_script01_2_M005 :act 3; :val 3; :dom 3; ()
Ses05M_script01_2_M006 :act 4; :val 3; :dom 2; ()
Ses05M_script01_2_M007 :act 3; :val 3; :dom 3; ()
Ses05M_script01_2_M008 :act 3; :val 2; :dom 3; ()
Ses05M_script01_2_M009 :act 2; :val 4; :dom 3; ()
Ses05M_script01_2_M010 :act 3; :val 3; :dom 2; ()
Ses05M_script01_2_M011 :act 4; :val 3; :dom 3; ()
Ses05M_script01_2_M012 :act 3; :val 3; :dom 3; ()
Ses05M_script01_2_M013 :act 3; :val 3; :dom 3; ()
Ses05M_script01_2_M014 :act 3; :val 3; :dom 2; ()
Ses05M_script01_2_M015 :act 3; :val 4; :dom 4; ()
Ses05M_script01_2_M016 :act 3; :val 4; :dom 4; ()
