Ses05F_impro03_F000 :Excited; ()
Ses05F_impro03_F001 :Excited; ()
Ses05F_impro03_F002 :Excited; ()
Ses05F_impro03_F003 :Excited; ()
Ses05F_impro03_F004 :Excited; ()
Ses05F_impro03_F005 :Excited; :Happiness; ()
Ses05F_impro03_F006 :Excited; :Happiness; ()
Ses05F_impro03_F007 :Excited; ()
Ses05F_impro03_F008 :Excited; ()
Ses05F_impro03_F009 :Excited; ()
Ses05F_impro03_F010 :Excited; :Happiness; ()
Ses05F_impro03_F011 :Excited; ()
Ses05F_impro03_F012 :Neutral state; ()
Ses05F_impro03_F013 :Neutral state; ()
Ses05F_impro03_F014 :Neutral state; ()
Ses05F_impro03_F015 :Neutral state; ()
Ses05F_impro03_F016 :Neutral state; ()
Ses05F_impro03_F017 :Neutral state; ()
Ses05F_impro03_F018 :Neutral state; ()
Ses05F_impro03_F019 :Neutral state; ()
Ses05F_impro03_F020 :Excited; ()
Ses05F_impro03_F021 :Neutral state; ()
Ses05F_impro03_F022 :Neutral state; ()
Ses05F_impro03_F023 :Neutral state; ()
Ses05F_impro03_F024 :Neutral state; ()
Ses05F_impro03_F025 :Neutral state; ()
Ses05F_impro03_F026 :Neutral state; ()
Ses05F_impro03_F027 :Happiness; ()
Ses05F_impro03_F028 :Happiness; ()
Ses05F_impro03_F029 :Happiness; ()
Ses05F_impro03_F030 :Happiness; ()
Ses05F_impro03_F031 :Neutral state; ()
Ses05F_impro03_F032 :Happiness; ()
Ses05F_impro03_F033 :Happiness; ()
Ses05F_impro03_F034 :Happiness; ()
Ses05F_impro03_F035 :Happiness; ()
Ses05F_impro03_F036 :Happiness; ()
Ses05F_impro03_F037 :Happiness; ()
Ses05F_impro03_F038 :Neutral state; ()
Ses05F_impro03_F039 :Happiness; ()
Ses05F_impro03_F040 :Happiness; ()
Ses05F_impro03_F041 :Happiness; ()
Ses05F_impro03_F042 :Happiness; ()
Ses05F_impro03_F043 :Happiness; ()
Ses05F_impro03_F044 :Neutral state; ()
Ses05F_impro03_F045 :Neutral state; ()
Ses05F_impro03_F046 :Neutral state; ()
Ses05F_impro03_F047 :Neutral state; ()
Ses05F_impro03_F048 :Neutral state; ()
Ses05F_impro03_F049 :Neutral state; ()
Ses05F_impro03_F050 :Neutral state; ()
Ses05F_impro03_F051 :Happiness; ()
Ses05F_impro03_F052 :Neutral state; ()
Ses05F_impro03_F053 :Neutral state; ()
Ses05F_impro03_F054 :Other; (male emotion, not female)
Ses05F_impro03_F055 :Excited; :Happiness; ()
Ses05F_impro03_F056 :Neutral state; ()
Ses05F_impro03_F057 :Happiness; ()
Ses05F_impro03_F058 :Other; (male emotion, not female)
Ses05F_impro03_F059 :Happiness; ()
Ses05F_impro03_F060 :Happiness; ()
Ses05F_impro03_M000 :Neutral state; ()
Ses05F_impro03_M001 :Excited; ()
Ses05F_impro03_M002 :Excited; :Surprise; ()
Ses05F_impro03_M003 :Excited; ()
Ses05F_impro03_M004 :Excited; :Surprise; ()
Ses05F_impro03_M005 :Excited; ()
Ses05F_impro03_M006 :Excited; ()
Ses05F_impro03_M007 :Excited; ()
Ses05F_impro03_M008 :Excited; ()
Ses05F_impro03_M009 :Excited; ()
Ses05F_impro03_M010 :Excited; ()
Ses05F_impro03_M011 :Excited; ()
Ses05F_impro03_M012 :Excited; ()
Ses05F_impro03_M013 :Neutral state; ()
Ses05F_impro03_M014 :Neutral state; ()
Ses05F_impro03_M015 :Neutral state; ()
Ses05F_impro03_M016 :Neutral state; ()
Ses05F_impro03_M017 :Neutral state; ()
Ses05F_impro03_M018 :Neutral state; ()
Ses05F_impro03_M019 :Neutral state; ()
Ses05F_impro03_M020 :Neutral state; ()
Ses05F_impro03_M021 :Neutral state; ()
Ses05F_impro03_M022 :Neutral state; ()
Ses05F_impro03_M023 :Neutral state; ()
Ses05F_impro03_M024 :Neutral state; ()
Ses05F_impro03_M025 :Neutral state; ()
Ses05F_impro03_M026 :Neutral state; ()
Ses05F_impro03_M027 :Neutral state; ()
Ses05F_impro03_M028 :Neutral state; ()
Ses05F_impro03_M029 :Neutral state; ()
Ses05F_impro03_M030 :Excited; ()
Ses05F_impro03_M031 :Excited; ()
Ses05F_impro03_M032 :Excited; ()
Ses05F_impro03_M033 :Excited; ()
Ses05F_impro03_M034 :Excited; ()
Ses05F_impro03_M035 :Neutral state; ()
Ses05F_impro03_M036 :Happiness; ()
Ses05F_impro03_M037 :Happiness; ()
Ses05F_impro03_M038 :Happiness; ()
Ses05F_impro03_M039 :Happiness; ()
Ses05F_impro03_M040 :Happiness; ()
Ses05F_impro03_M041 :Happiness; ()
Ses05F_impro03_M042 :Neutral state; ()
Ses05F_impro03_M043 :Excited; ()
Ses05F_impro03_M044 :Excited; ()
Ses05F_impro03_M045 :Excited; ()
Ses05F_impro03_M046 :Excited; ()
Ses05F_impro03_M047 :Neutral state; ()
Ses05F_impro03_M048 :Neutral state; ()
Ses05F_impro03_M049 :Neutral state; ()
Ses05F_impro03_M050 :Neutral state; ()
Ses05F_impro03_M051 :Neutral state; ()
Ses05F_impro03_M052 :Neutral state; ()
Ses05F_impro03_M053 :Neutral state; ()
Ses05F_impro03_M054 :Neutral state; ()
Ses05F_impro03_M055 :Neutral state; ()
Ses05F_impro03_M056 :Neutral state; ()
Ses05F_impro03_M057 :Neutral state; ()
Ses05F_impro03_M058 :Neutral state; ()
Ses05F_impro03_M059 :Neutral state; ()
Ses05F_impro03_M060 :Excited; ()
Ses05F_impro03_M061 :Neutral state; ()
Ses05F_impro03_M062 :Neutral state; ()
Ses05F_impro03_M063 :Neutral state; ()
Ses05F_impro03_M064 :Neutral state; ()
Ses05F_impro03_M065 :Excited; ()
Ses05F_impro03_M066 :Excited; ()
Ses05F_impro03_M067 :Excited; ()
Ses05F_impro03_M068 :Excited; ()
