Ses05M_script03_1_F000 :Fear; ()
Ses05M_script03_1_F001 :Excited; ()
Ses05M_script03_1_F002 :Excited; ()
Ses05M_script03_1_F003 :Excited; ()
Ses05M_script03_1_F004 :Excited; ()
Ses05M_script03_1_F005 :Excited; ()
Ses05M_script03_1_F006 :Excited; ()
Ses05M_script03_1_F007 :Excited; ()
Ses05M_script03_1_F008 :Excited; ()
Ses05M_script03_1_F009 :Excited; ()
Ses05M_script03_1_F010 :Excited; ()
Ses05M_script03_1_F011 :Excited; ()
Ses05M_script03_1_F012 :Excited; ()
Ses05M_script03_1_F013 :Excited; ()
Ses05M_script03_1_F014 :Excited; ()
Ses05M_script03_1_F015 :Excited; ()
Ses05M_script03_1_F016 :Excited; ()
Ses05M_script03_1_F017 :Excited; ()
Ses05M_script03_1_F018 :Excited; ()
Ses05M_script03_1_F019 :Excited; ()
Ses05M_script03_1_F020 :Excited; ()
Ses05M_script03_1_F021 :Excited; ()
Ses05M_script03_1_F022 :Excited; ()
Ses05M_script03_1_F023 :Excited; ()
Ses05M_script03_1_F024 :Excited; ()
Ses05M_script03_1_F025 :Excited; ()
Ses05M_script03_1_F026 :Excited; ()
Ses05M_script03_1_F027 :Excited; ()
Ses05M_script03_1_F028 :Excited; ()
Ses05M_script03_1_F029 :Excited; ()
Ses05M_script03_1_F030 :Excited; ()
Ses05M_script03_1_F031 :Excited; ()
Ses05M_script03_1_M000 :Fear; ()
Ses05M_script03_1_M001 :Fear; ()
Ses05M_script03_1_M002 :Fear; ()
Ses05M_script03_1_M003 :Excited; :Fear; ()
Ses05M_script03_1_M004 :Excited; :Fear; ()
Ses05M_script03_1_M005 :Fear; ()
Ses05M_script03_1_M006 :Excited; ()
Ses05M_script03_1_M007 :Excited; ()
Ses05M_script03_1_M008 :Excited; ()
Ses05M_script03_1_M009 :Excited; ()
Ses05M_script03_1_M010 :Excited; ()
Ses05M_script03_1_M011 :Excited; ()
Ses05M_script03_1_M012 :Excited; ()
Ses05M_script03_1_M013 :Excited; ()
Ses05M_script03_1_M014 :Excited; ()
Ses05M_script03_1_M015 :Excited; ()
Ses05M_script03_1_M016 :Excited; ()
Ses05M_script03_1_M017 :Excited; ()
Ses05M_script03_1_M018 :Excited; ()
Ses05M_script03_1_M019 :Excited; ()
Ses05M_script03_1_M020 :Excited; ()
Ses05M_script03_1_M021 :Excited; ()
Ses05M_script03_1_M022 :Excited; ()
Ses05M_script03_1_M023 :Excited; ()
Ses05M_script03_1_M024 :Excited; ()
Ses05M_script03_1_M025 :Excited; ()
Ses05M_script03_1_M026 :Excited; ()
Ses05M_script03_1_M027 :Excited; ()
Ses05M_script03_1_M028 :Excited; ()
Ses05M_script03_1_M029 :Excited; ()
Ses05M_script03_1_M030 :Excited; ()
Ses05M_script03_1_M031 :Excited; ()
Ses05M_script03_1_M032 :Excited; ()
Ses05M_script03_1_M033 :Excited; ()
Ses05M_script03_1_M034 :Excited; ()
