Ses05F_impro04_M000 :Sadness; :Overlap; (Caring)
Ses05F_impro04_M001 :Frustration; :Overlap; ()
Ses05F_impro04_M002 :Frustration; :Sadness; :Overlap; ()
Ses05F_impro04_M003 :Frustration; :Overlap; ()
Ses05F_impro04_M004 :Frustration; :Overlap; ()
Ses05F_impro04_M005 :Frustration; :Overlap; ()
Ses05F_impro04_M006 :Frustration; :Overlap; ()
Ses05F_impro04_M007 :Neutral state; :Overlap; ()
Ses05F_impro04_M008 :Neutral state; :Overlap; ()
Ses05F_impro04_M009 :Neutral state; :Overlap; ()
Ses05F_impro04_M010 :Frustration; :Overlap; ()
Ses05F_impro04_M011 :Neutral state; :Overlap; ()
Ses05F_impro04_M012 :Frustration; :Overlap; ()
Ses05F_impro04_M013 :Frustration; :Overlap; ()
Ses05F_impro04_M014 :Frustration; :Sadness; :Overlap; ()
Ses05F_impro04_M015 :Neutral state; :Overlap; ()
Ses05F_impro04_M016 :Sadness; :Overlap; ()
Ses05F_impro04_M017 :Frustration; :Overlap; :Anger; ()
Ses05F_impro04_M018 :Excited; :Overlap; ()
Ses05F_impro04_M019 :Frustration; :Overlap; ()
Ses05F_impro04_M020 :Sadness; :Overlap; :Disgust; ()
Ses05F_impro04_M021 :Frustration; :Overlap; ()
Ses05F_impro04_M022 :Frustration; :Overlap; ()
Ses05F_impro04_M023 :Overlap; :Disgust; ()
Ses05F_impro04_M024 :Neutral state; :Overlap; ()
Ses05F_impro04_M025 :Neutral state; :Overlap; ()
Ses05F_impro04_M026 :Frustration; :Overlap; ()
Ses05F_impro04_M027 :Frustration; :Overlap; ()
Ses05F_impro04_M028 :Neutral state; :Overlap; ()
Ses05F_impro04_M029 :Neutral state; :Overlap; ()
Ses05F_impro04_M030 :Neutral state; :Overlap; ()
Ses05F_impro04_M031 :Neutral state; :Overlap; ()
Ses05F_impro04_M032 :Neutral state; :Overlap; ()
Ses05F_impro04_M033 :Neutral state; :Overlap; ()
Ses05F_impro04_M034 :Frustration; :Overlap; ()
Ses05F_impro04_M035 :Frustration; :Overlap; ()
Ses05F_impro04_M036 :Neutral state; :Overlap; ()
Ses05F_impro04_M037 :Overlap; :Disgust; ()
Ses05F_impro04_M038 :Neutral state; :Overlap; ()
Ses05F_impro04_M039 :Other; :Overlap; (Disappointment)
Ses05F_impro04_M040 :Frustration; :Overlap; ()
Ses05F_impro04_M041 :Neutral state; :Overlap; ()
Ses05F_impro04_M042 :Frustration; :Overlap; ()
Ses05F_impro04_M043 :Neutral state; :Overlap; ()
