Ses05F_impro07_M000 :Overlap; :Happiness; ()
Ses05F_impro07_M001 :Overlap; :Surprise; ()
Ses05F_impro07_M002 :Excited; :Overlap; ()
Ses05F_impro07_M003 :Overlap; :Happiness; ()
Ses05F_impro07_M004 :Overlap; :Happiness; ()
Ses05F_impro07_M005 :Overlap; :Happiness; ()
Ses05F_impro07_M006 :Frustration; :Overlap; ()
Ses05F_impro07_M007 :Other; :Overlap; (Understanding)
Ses05F_impro07_M008 :Excited; :Overlap; ()
Ses05F_impro07_M009 :Neutral state; :Overlap; ()
Ses05F_impro07_M010 :Overlap; :Happiness; ()
Ses05F_impro07_M011 :Excited; :Overlap; ()
Ses05F_impro07_M012 :Excited; :Overlap; ()
Ses05F_impro07_M013 :Overlap; :Happiness; ()
Ses05F_impro07_M014 :Overlap; :Happiness; ()
Ses05F_impro07_M015 :Overlap; :Happiness; ()
Ses05F_impro07_M016 :Excited; :Overlap; ()
Ses05F_impro07_M017 :Excited; :Overlap; ()
Ses05F_impro07_M018 :Neutral state; :Overlap; ()
Ses05F_impro07_M019 :Frustration; :Overlap; ()
Ses05F_impro07_M020 :Frustration; :Overlap; ()
Ses05F_impro07_M021 :Overlap; :Fear; ()
Ses05F_impro07_M022 :Neutral state; :Overlap; ()
Ses05F_impro07_M023 :Neutral state; :Overlap; ()
Ses05F_impro07_M024 :Excited; :Overlap; ()
Ses05F_impro07_M025 :Overlap; :Happiness; ()
Ses05F_impro07_M026 :Overlap; :Happiness; ()
Ses05F_impro07_M027 :Overlap; :Happiness; ()
Ses05F_impro07_M028 :Frustration; :Overlap; ()
Ses05F_impro07_M029 :Overlap; :Happiness; ()
Ses05F_impro07_M030 :Other; :Overlap; (Relieved)
Ses05F_impro07_M031 :Overlap; :Happiness; ()
Ses05F_impro07_M032 :Excited; :Overlap; ()
Ses05F_impro07_M033 :Excited; :Overlap; ()
Ses05F_impro07_M034 :Neutral state; :Overlap; ()
Ses05F_impro07_M035 :Neutral state; :Overlap; ()
Ses05F_impro07_M036 :Excited; :Overlap; ()
